ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType,Link_1
9939,,Chair of Friends of Church Lane & St. Mary's Play Park & Recreation Ground. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,Chair of Friends of Church Lane & St. Mary's Play Park & Recreation Ground. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9939
9940,,A member of the Gedling UK Shared Prosperity Fund Local Partnership Group. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,A member of the Gedling UK Shared Prosperity Fund Local Partnership Group. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9940
10095,,Board member and charity trustee of Beyond Carnism. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Adrian Ramsay,5320,,05/07/2024,,Board member and charity trustee of Beyond Carnism. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10095
8467,,Member of the Executive Committee of the Fabian Society. This is an unpaid role.,2024-07-31,2024-08-04,,Miscellaneous,Mrs Sarah Russell,5324,16/07/2024,,,Member of the Executive Committee of the Fabian Society. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8467
9004,,"Ex-officio Director, Incorporated Council of Law Reporting. This is an unpaid role.",2024-08-01,2024-08-04,,Miscellaneous,Sarah Sackman,5204,09/07/2024,,,"Ex-officio Director, Incorporated Council of Law Reporting. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9004
9796,,Unpaid Directorship unpaid of JMT Holdco Ltd and its subsidiary JMT Corporation Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Directorship unpaid of JMT Holdco Ltd and its subsidiary JMT Corporation Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9796
9801,,Unpaid Directorship of Britain Means Business Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Directorship of Britain Means Business Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9801
9803,,Partner In Quidnet Capital Partners Ltd and Director of its subsidiary Quidnet Capital Ltd. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Partner In Quidnet Capital Partners Ltd and Director of its subsidiary Quidnet Capital Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9803
10449,,"Unpaid Councillor, Kirklees Council.",2024-07-29,2024-08-04,,Miscellaneous,Paul Davies,5317,,31/08/2024,,"Unpaid Councillor, Kirklees Council.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10449
10451,,Unpaid Director of Turquoise Planet Ltd (Consultancy (environmental)). This company is not operational.,2024-08-01,2024-08-04,,Miscellaneous,Lee Pitcher,5233,,,,Unpaid Director of Turquoise Planet Ltd (Consultancy (environmental)). This company is not operational.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10451
10269,,Unpaid Trustee of Hope Not Hate Charitable Trust.,2024-08-04,2024-08-04,,Miscellaneous,Anna Turley,4449,,11/07/2024,,Unpaid Trustee of Hope Not Hate Charitable Trust.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10269
8617,,"Company director, Saibick Investments Ltd.",2024-07-31,2024-08-04,2024-09-04,Miscellaneous,Aphra Brandreth,5241,,13/08/2024,,"Company director, Saibick Investments Ltd.",Other,https://interests-api.parliament.uk/api/v1/Interests/8617
9075,,Thatcham Town Councillor. This is an unpaid role.,2024-08-01,2024-08-04,,Miscellaneous,Mr Lee Dillon,5310,,,,Thatcham Town Councillor. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9075
8464,,School governor. This is an unpaid role.,2024-07-31,2024-08-04,,Miscellaneous,Mrs Sarah Russell,5324,,12/07/2024,,School governor. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8464
8799,,"Director, 30th State Productions Limited",2024-08-01,2024-08-04,,Miscellaneous,Alan Gemmell,5185,,,,"Director, 30th State Productions Limited",Other,https://interests-api.parliament.uk/api/v1/Interests/8799
3490,,A director of C&UCO Services Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,2023-11-16,2024-08-04,2024-08-04,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,A director of C&UCO Services Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/3490
8257,,Councillor on Hertford Town Council. This is an unpaid role.,2024-07-30,2024-08-04,,Miscellaneous,Josh Dean,5187,,08/07/2024,,Councillor on Hertford Town Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8257
9151,,Unpaid director of a property management company.,2024-08-01,2024-08-04,,Miscellaneous,Fred Thomas,5174,,,,Unpaid director of a property management company.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9151
9852,,"Director/Secretary, Labour First Ltd. This is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Luke Akehurst,5112,,,,"Director/Secretary, Labour First Ltd. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9852
10155,,Chair of the Society of Labour Lawyers. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Catherine Atkinson,5143,,,,Chair of the Society of Labour Lawyers. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10155
10225,,Labour & Co-Operative Councillor for Rochester East and Warren Wood.,2024-08-04,2024-08-04,,Miscellaneous,Lauren Edwards,5298,05/07/2024,,,Labour & Co-Operative Councillor for Rochester East and Warren Wood.,Other,https://interests-api.parliament.uk/api/v1/Interests/10225
8953,,Unpaid Directorship at Farage Media LTD.,2024-08-04,2024-08-04,,Miscellaneous,Nigel Farage,5091,,,,Unpaid Directorship at Farage Media LTD.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8953
9729,,Associate Governor of a Warrington based primary school. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Sarah Hall,5154,,,,Associate Governor of a Warrington based primary school. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9729
9936,,Director of Josan Estates Ltd. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Gurinder Singh Josan,5059,,,,Director of Josan Estates Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9936
8709,,Director of IRC UK Trading Limited.,2024-07-31,2024-08-04,,Miscellaneous,Laura Kyrke-Smith,5341,,,,Director of IRC UK Trading Limited.,Other,https://interests-api.parliament.uk/api/v1/Interests/8709
8519,,Chair of Clydebank & Milngavie CLP. This is an unpaid role.,2024-07-31,2024-08-04,,Miscellaneous,Douglas McAllister,5057,,,,Chair of Clydebank & Milngavie CLP. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8519
8326,,"Non Executive Board Member, The Center for Countering Digital Hate (CCDH). This is an unpaid role.",2024-08-01,2024-08-04,,Miscellaneous,Kirsty McNeill,5114,,11/07/2024,,"Non Executive Board Member, The Center for Countering Digital Hate (CCDH). This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8326
9759,,Trustee of Norton Canes Community Association (Norton Canes Community Centre). This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Josh Newbury,5034,,,,Trustee of Norton Canes Community Association (Norton Canes Community Centre). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9759
9261,,Unpaid director of a residents property management company. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,Joani Reid,5079,,,,Unpaid director of a residents property management company. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9261
8526,,"Councillor, City of Westminster. This is an unpaid role.",2024-07-31,2024-08-04,,Miscellaneous,Tim Roca,5287,,,,"Councillor, City of Westminster. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8526
9811,,Unpaid Director of JMT Settlement Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of JMT Settlement Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9811
8585,,Chartered Town Planner Member of the Royal Town Planning Institute. This is an unpaid role.,2024-07-31,2024-08-04,,Miscellaneous,Gideon Amos,5250,,,,Chartered Town Planner Member of the Royal Town Planning Institute. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8585
8706,,"Director of Pride In Leigh CIC, an organisation that hosts Pride events in Leigh. This is an unpaid role.",2024-07-31,2024-08-04,,Miscellaneous,Jo Platt,4673,,,,"Director of Pride In Leigh CIC, an organisation that hosts Pride events in Leigh. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8706
8711,,"Treasurer, Leedstown Cricket Club. This is an unpaid role.",2024-08-04,2024-08-04,,Miscellaneous,Andrew George,227,,,,"Treasurer, Leedstown Cricket Club. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8711
8131,,"In my role as the Metro Mayor of the West of England I am a chair/member of the following committees and boards:
West of England Mayoral Combined Authority Committee; Temple Quarter Strategic Board; West of England LEP Board; Regional Capital Board; West of England Mayoral Combined Authority Joint Skills and Business Boards, Joint Transport, Housing & Planning Boards, and the Climate & Nature Action Panel.",2024-07-30,2024-08-04,,Miscellaneous,Dan Norris,221,,,,"In my role as the Metro Mayor of the West of England I am a chair/member of the following committees and boards:
West of England Mayoral Combined Authority Committee; Temple Quarter Strategic Board; West of England LEP Board; Regional Capital Board; West of England Mayoral Combined Authority Joint Skills and Business Boards, Joint Transport, Housing & Planning Boards, and the Climate & Nature Action Panel.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8131
1893,,"A member of the Board of Governors of the Institute for Government, a UK thinktank. This is an unpaid role.",2023-03-16,2024-08-04,2024-08-01,Miscellaneous,Dame Angela Eagle,491,16/03/2023,18/07/2024,,"A member of the Board of Governors of the Institute for Government, a UK thinktank. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1893
10358,,"Councillor, London Borough of Ealing. I do not receive an allowance for this role.",2024-08-04,2024-08-04,,Miscellaneous,Deirdre Costigan,5075,,,,"Councillor, London Borough of Ealing. I do not receive an allowance for this role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10358
9931,,"Trustee, Friends of Labour Students. This is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Luke Akehurst,5112,,,,"Trustee, Friends of Labour Students. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9931
9295,,"Unpaid Director of Right To Manage company, looking after the block of flats I live in.",2024-08-02,2024-08-04,,Miscellaneous,Bobby Dean,5083,21/07/2022,,,"Unpaid Director of Right To Manage company, looking after the block of flats I live in.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9295
8954,,Unpaid Directorship at Reform Party UK.,2024-08-04,2024-08-04,,Miscellaneous,Nigel Farage,5091,,,,Unpaid Directorship at Reform Party UK.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/8954
8446,,Company shares in SRM Industries Ltd. These are alphabet shares with no monetary value.,2024-07-31,2024-08-04,,Miscellaneous,Linsey Farnsworth,5107,,,Martin Spare,Company shares in SRM Industries Ltd. These are alphabet shares with no monetary value.,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/8446
7586,,Contributor and editing committee of BSI 30440 Validation of AI in Health. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Dr Allison Gardner,5334,,04/08/2024,,Contributor and editing committee of BSI 30440 Validation of AI in Health. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/7586
8345,,"I am elected to Norfolk County Council, representing Thetford West division. This is an unpaid role.",2024-07-30,2024-08-04,,Miscellaneous,Terry Jermy,5338,,,,"I am elected to Norfolk County Council, representing Thetford West division. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8345
9932,,Chair of Trustees at HOPE not hate Charitable Trust. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Gurinder Singh Josan,5059,,,,Chair of Trustees at HOPE not hate Charitable Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9932
8493,,Board of West Dunbartonshire Citizens' Advice Bureau. This is an unpaid role.,2024-07-31,2024-08-04,,Miscellaneous,Douglas McAllister,5057,,,,Board of West Dunbartonshire Citizens' Advice Bureau. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8493
9760,,"Co-opted governor at Jerome Primary School, Norton Canes. This is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Josh Newbury,5034,,,,"Co-opted governor at Jerome Primary School, Norton Canes. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9760
8528,,"Patron of APARU -
Association of Argentine Professionals in the United Kingdom. This is an unpaid role.",2024-07-31,2024-08-04,,Miscellaneous,Tim Roca,5287,,,,"Patron of APARU -
Association of Argentine Professionals in the United Kingdom. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8528
9804,,Unpaid Director of Belgravia House RTM Company Ltd and related company Belgravia House Headlease Company Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Belgravia House RTM Company Ltd and related company Belgravia House Headlease Company Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9804
9806,,Unpaid Director of Galecroft Solutions Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Galecroft Solutions Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9806
8848,,"Volunteer on community radio station, Today's More Choice Radio. This is an unpaid role.",2024-08-01,2024-08-04,,Miscellaneous,Lee Pitcher,5233,01/04/2022,,,"Volunteer on community radio station, Today's More Choice Radio. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8848
8615,,Unpaid Director of Saibick Limited.,2024-07-31,2024-08-04,2024-09-04,Miscellaneous,Aphra Brandreth,5241,,13/08/2024,,Unpaid Director of Saibick Limited.,Other,https://interests-api.parliament.uk/api/v1/Interests/8615
10141,,"Councillor, Inverclyde Council. This is an unpaid role.",2024-08-04,2024-08-04,2024-09-04,Miscellaneous,Martin McCluskey,5129,,04/09/2024,,"Councillor, Inverclyde Council. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10141
8791,,"Chair of Labour Party. This post carries a salary of £67,505 per annum.",2024-08-01,2024-08-04,,Miscellaneous,Ellie Reeves,4620,08/07/2024,,,"Chair of Labour Party. This post carries a salary of £67,505 per annum.",Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/8791
10197,,Army Reservist. I have not received any earnings since being elected.,2024-08-04,2024-08-04,,Miscellaneous,Helena Dollimore,5192,,,,Army Reservist. I have not received any earnings since being elected.,Other,https://interests-api.parliament.uk/api/v1/Interests/10197
10070,,Membership Secretary of Arnold Branch Labour Party.,2024-08-04,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,Membership Secretary of Arnold Branch Labour Party.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10070
9717,,Membership of the British Medical Association.,2024-08-03,2024-08-04,,Miscellaneous,Dr Beccy Cooper,5307,,,,Membership of the British Medical Association.,Other,https://interests-api.parliament.uk/api/v1/Interests/9717
9124,,Member of the Bassetlaw Shared Prosperity Partnership Group as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the Bassetlaw Shared Prosperity Partnership Group as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9124
9110,,Member of the Midlands Nuclear Board as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the Midlands Nuclear Board as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9110
8846,,Elected Member Glasgow City Council. This is an unpaid role.,2024-08-01,2024-08-04,,Miscellaneous,Maureen Burke,5137,,,,Elected Member Glasgow City Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8846
8343,,Trustee of Bishop Auckland Community Partnership (Four Clocks Centre). This is an unpaid role.,2024-07-30,2024-08-04,,Miscellaneous,Sam Rushworth,5108,,,,Trustee of Bishop Auckland Community Partnership (Four Clocks Centre). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8343
8491,,"Board member and trustee, Flourishing Faifley charity. This is an unpaid role.",2024-07-31,2024-08-04,,Miscellaneous,Douglas McAllister,5057,,,,"Board member and trustee, Flourishing Faifley charity. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8491
3489,,A director of C&UCO Management Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,2023-11-16,2024-08-04,2024-08-04,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,A director of C&UCO Management Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/3489
8250,,"Unpaid Director, Community Conversations Ltd.",2024-07-30,2024-08-04,,Miscellaneous,Daniel Francis,5184,,,,"Unpaid Director, Community Conversations Ltd.",Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/8250
7208,,"Company Director, DeCantelo Ltd.",2024-08-04,2024-08-04,,Miscellaneous,Peter Fortune,5209,,,,"Company Director, DeCantelo Ltd.",Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/7208
8286,,Trustee of Shu Discretionary Trust. This is an unpaid role.,2024-07-30,2024-08-04,,Miscellaneous,Shockat Adam,5120,,,,Trustee of Shu Discretionary Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8286
9856,,"Director, Labour to Win Ltd. This is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Luke Akehurst,5112,,,,"Director, Labour to Win Ltd. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9856
10160,,Unpaid director of company set up by four leaseholders who jointly own the freehold of the building.,2024-08-04,2024-08-04,,Miscellaneous,Catherine Atkinson,5143,,,,Unpaid director of company set up by four leaseholders who jointly own the freehold of the building.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10160
10177,,Director of Youth Battersea CIC. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Alex Baker,5173,,,,Director of Youth Battersea CIC. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10177
9695,,"Practising solicitor registered on the Solicitors Register. Currently, this is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,"Practising solicitor registered on the Solicitors Register. Currently, this is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9695
9704,,"Solicitor with a practising certificate. Currently, this is an unpaid role.",2024-08-03,2024-08-04,,Miscellaneous,Kevin Bonavia,5051,,,,"Solicitor with a practising certificate. Currently, this is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9704
10105,,"Trustee of the Pest House Charity, a charity that provides support to Midhurst residents that find themselves in difficult financial situations and require support. This is an unpaid role.",2024-08-04,2024-08-04,,Miscellaneous,Jess Brown-Fuller,5335,,,,"Trustee of the Pest House Charity, a charity that provides support to Midhurst residents that find themselves in difficult financial situations and require support. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10105
10037,,Life Membership of the Institute of Chartered Accountants in England and Wales.,2024-08-04,2024-08-04,,Miscellaneous,Charlotte Cane,5182,,,,Life Membership of the Institute of Chartered Accountants in England and Wales.,Other,https://interests-api.parliament.uk/api/v1/Interests/10037
8154,,Chair of Carmarthenshire Association of Voluntary Services. This is an unpaid role.,2024-07-30,2024-08-04,,Miscellaneous,Ann Davies,5177,,,,Chair of Carmarthenshire Association of Voluntary Services. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8154
8955,,Unpaid Leader at Reform Party UK.,2024-08-04,2024-08-04,,Miscellaneous,Nigel Farage,5091,,,,Unpaid Leader at Reform Party UK.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/8955
9942,,Director of Warley Hardware Centre Ltd. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Gurinder Singh Josan,5059,,13/07/2024,,Director of Warley Hardware Centre Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9942
10014,,"Unpaid Director, Babylon Bars (London) Ltd.",2024-08-03,2024-08-04,,Miscellaneous,Mr Paul Kohler,5321,,,,"Unpaid Director, Babylon Bars (London) Ltd.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10014
8017,,Trustee and Chair of The League Against Cruel Sports. This is an unpaid role.,2024-07-30,2024-08-04,,Miscellaneous,Dan Norris,221,,,,Trustee and Chair of The League Against Cruel Sports. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8017
10216,,A member of Nottingham Playhouse Strategic Board. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,A member of Nottingham Playhouse Strategic Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10216
9788,,Governor at Furze Platt Senior School.,2024-08-03,2024-08-04,,Miscellaneous,Mr Joshua Reynolds,5343,,,,Governor at Furze Platt Senior School.,Other,https://interests-api.parliament.uk/api/v1/Interests/9788
9805,,Unpaid Director of Quidnet (GHB) Investments Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Quidnet (GHB) Investments Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9805
10478,,Wychavon District Councillor. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Bradley Thomas,5186,,06/07/2024,,Wychavon District Councillor. This is an unpaid role.,Other,https://interests-api.parliament.uk/api/v1/Interests/10478
1818,,"Associate Tenant, Doughty Street Chambers. This is an unpaid role.",2020-09-30,2024-08-04,2024-09-24,Miscellaneous,Mr David Lammy,206,01/06/2020,10/09/2024,,"Associate Tenant, Doughty Street Chambers. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1818
8510,,Unremunerated trustee of the 16th Viscount Mountgarret Will Trust.,2024-07-31,2024-08-04,,Miscellaneous,Rupert Lowe,5158,,,,Unremunerated trustee of the 16th Viscount Mountgarret Will Trust.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8510
10181,,"Unpaid trustee Lifelines Arley Whitacre, a small charity.",2024-08-04,2024-08-04,,Miscellaneous,Jodie Gosling,5036,,,,"Unpaid trustee Lifelines Arley Whitacre, a small charity.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10181
10057,,I have an unpaid role as a Councillor on Rochdale Borough Council (RBC).,2024-08-04,2024-08-04,,Miscellaneous,Mrs Elsie Blundell,5084,,,,I have an unpaid role as a Councillor on Rochdale Borough Council (RBC).,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10057
9864,,"Company Director, One Nine Seven Investments Ltd and A&H Bros (& others) Investments Ltd.",2024-08-03,2024-08-04,,Miscellaneous,Mr Adnan Hussain,5231,,,,"Company Director, One Nine Seven Investments Ltd and A&H Bros (& others) Investments Ltd.",Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/9864
9489,,Chair of Splash Group. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,Irene Campbell,5145,,,,Chair of Splash Group. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9489
9065,,I am currently on an unpaid career break from my position as Chair of Urban Water Management at Heriot-Watt University.,2024-08-02,2024-08-04,,Miscellaneous,Dr Scott Arthur,5212,01/08/2024,05/07/2029,Heriot-Watt University,I am currently on an unpaid career break from my position as Chair of Urban Water Management at Heriot-Watt University.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9065
1570,,Unpaid director of Brockthorpe Consultancy Ltd; consultants and rural surveyors. This is the umbrella company of Brockthorpe Consultancy RM.,2020-01-09,2024-08-04,2024-08-03,Miscellaneous,Robbie Moore,4861,13/12/2019,17/11/2023,,Unpaid director of Brockthorpe Consultancy Ltd; consultants and rural surveyors. This is the umbrella company of Brockthorpe Consultancy RM.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1570
1657,,Member of the Wolverhampton Town Board. This is an unpaid role.,2020-02-04,2024-08-04,2024-07-17,Miscellaneous,Stuart Anderson,4742,,,,Member of the Wolverhampton Town Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1657
8164,,Chair Governance and Scrutiny Committee. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Lillian Jones,5043,,,,Chair Governance and Scrutiny Committee. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8164
8192,,"School governor for Grange Primary School, Ealing. This is an unpaid role.",2024-07-30,2024-08-04,,Miscellaneous,Peter Swallow,5165,,05/07/2024,,"School governor for Grange Primary School, Ealing. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8192
10096,,"Borough Councillor for Arley and Whitacre, North Warwickshire Borough Council. This is an unpaid role.",2024-08-04,2024-08-04,,Miscellaneous,Jodie Gosling,5036,,,,"Borough Councillor for Arley and Whitacre, North Warwickshire Borough Council. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10096
9907,,Director of Sikhs for Labour Ltd and Vice Chair of Sikhs for Labour - a Labour Party Friends group. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Gurinder Singh Josan,5059,,,,Director of Sikhs for Labour Ltd and Vice Chair of Sikhs for Labour - a Labour Party Friends group. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9907
7373,,Trustee of the Fawcett Society. This is an unpaid role.,2024-08-04,2024-08-04,,Miscellaneous,Naushabah Khan,5215,,,,Trustee of the Fawcett Society. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/7373
8328,,"Chair of the Board, Civic Power Fund (CPF),  the UK's first pooled donor fund investing in grassroots organising and building the infrastructure it needs to thrive. This is an unpaid role.",2024-08-04,2024-08-04,,Miscellaneous,Kirsty McNeill,5114,,11/07/2024,,"Chair of the Board, Civic Power Fund (CPF),  the UK's first pooled donor fund investing in grassroots organising and building the infrastructure it needs to thrive. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8328
9793,,A member of the Carlton Town Board. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,A member of the Carlton Town Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9793
9794,,Treasurer of St. Mary's Community Kitchen in Arnold. This is an unpaid role.,2024-08-03,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,Treasurer of St. Mary's Community Kitchen in Arnold. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9794
