ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType
8467,,Member of the Executive Committee of the Fabian Society. This is an unpaid role.,31/07/2024,04/08/2024,,Miscellaneous,Mrs Sarah Russell,5324,16/07/2024,,,Member of the Executive Committee of the Fabian Society. This is an unpaid role.,Unpaid role
9004,,"Ex-officio Director, Incorporated Council of Law Reporting. This is an unpaid role.",01/08/2024,04/08/2024,,Miscellaneous,Sarah Sackman,5204,09/07/2024,,,"Ex-officio Director, Incorporated Council of Law Reporting. This is an unpaid role.",Unpaid role
9791,,Practising barrister.,03/08/2024,04/08/2024,,Miscellaneous,Sarah Sackman,5204,,,,Practising barrister.,Other
9796,,Unpaid Directorship unpaid of JMT Holdco Ltd and its subsidiary JMT Corporation Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Directorship unpaid of JMT Holdco Ltd and its subsidiary JMT Corporation Ltd.,Unpaid role
9801,,Unpaid Directorship of Britain Means Business Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Directorship of Britain Means Business Ltd.,Unpaid role
9802,,Unpaid Directorship of Enjoyouretirement Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Directorship of Enjoyouretirement Ltd.,Unpaid role
9803,,Partner In Quidnet Capital Partners Ltd and Director of its subsidiary Quidnet Capital Ltd. This is an unpaid role.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Partner In Quidnet Capital Partners Ltd and Director of its subsidiary Quidnet Capital Ltd. This is an unpaid role.,Unpaid role
9804,,Unpaid Director of Belgravia House RTM Company Ltd and related company Belgravia House Headlease Company Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Belgravia House RTM Company Ltd and related company Belgravia House Headlease Company Ltd.,Unpaid role
9805,,Unpaid Director of Quidnet (GHB) Investments Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Quidnet (GHB) Investments Ltd.,Unpaid role
9806,,Unpaid Director of Galecroft Solutions Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of Galecroft Solutions Ltd.,Unpaid role
9811,,Unpaid Director of JMT Settlement Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Richard Tice,5161,,,,Unpaid Director of JMT Settlement Ltd.,Unpaid role
10274,,"School Governor, Whale Hill Primary School. This is an unpaid role.",04/08/2024,04/08/2024,,Miscellaneous,Anna Turley,4449,,,,"School Governor, Whale Hill Primary School. This is an unpaid role.",Unpaid role
10269,,Unpaid Trustee of Hope Not Hate Charitable Trust.,04/08/2024,04/08/2024,,Miscellaneous,Anna Turley,4449,,11/07/2024,,Unpaid Trustee of Hope Not Hate Charitable Trust.,Unpaid role
9807,,School Governor at Arnold View Primary School. This is an unpaid role.,03/08/2024,04/08/2024,,Miscellaneous,Michelle Welsh,5226,,,,School Governor at Arnold View Primary School. This is an unpaid role.,Unpaid role
7700,,Cherwell District Council member. This is an unpaid role.,30/07/2024,04/08/2024,,Miscellaneous,Sean Woodcock,5328,,05/07/2024,,Cherwell District Council member. This is an unpaid role.,Unpaid role
10449,,"Unpaid Councillor, Kirklees Council.",29/07/2024,04/08/2024,,Miscellaneous,Paul Davies,5317,,31/08/2024,,"Unpaid Councillor, Kirklees Council.",Unpaid role
10451,,Unpaid Director of Turquoise Planet Ltd (Consultancy (environmental)). This company is not operational.,01/08/2024,04/08/2024,,Miscellaneous,Lee Pitcher,5233,,,,Unpaid Director of Turquoise Planet Ltd (Consultancy (environmental)). This company is not operational.,Unpaid role
8806,,"Director, Howard Hodgkin Home Ltd.",04/08/2024,04/08/2024,,Miscellaneous,Alan Gemmell,5185,,02/08/2024,,"Director, Howard Hodgkin Home Ltd.",Other
8809,,"Director, LeapX Group Limited.",04/08/2024,04/08/2024,,Miscellaneous,Alan Gemmell,5185,,02/08/2024,,"Director, LeapX Group Limited.",Other
10473,,"Unpaid Borough Councillor, Amber Valley Borough Council.",29/07/2024,04/08/2024,,Miscellaneous,Linsey Farnsworth,5107,,,,"Unpaid Borough Councillor, Amber Valley Borough Council.",Unpaid role
10478,,Wychavon District Councillor. This is an unpaid role.,04/08/2024,04/08/2024,,Miscellaneous,Bradley Thomas,5186,,06/07/2024,,Wychavon District Councillor. This is an unpaid role.,Other
8848,,"Volunteer on community radio station, Today's More Choice Radio. This is an unpaid role.",01/08/2024,04/08/2024,,Miscellaneous,Lee Pitcher,5233,01/04/2022,,,"Volunteer on community radio station, Today's More Choice Radio. This is an unpaid role.",Unpaid role
8775,,Member of the Labour Party National Constitutional Committee.,01/08/2024,03/08/2024,,Miscellaneous,Phil Brickell,5128,,,,Member of the Labour Party National Constitutional Committee.,Formal role with a party organisation
9716,,Trustee of the Royal Society of Public Health. This is an unpaid role.,03/08/2024,03/08/2024,,Miscellaneous,Dr Beccy Cooper,5307,,,,Trustee of the Royal Society of Public Health. This is an unpaid role.,Unpaid role
9957,,"Unpaid trustee of international NGO based in Ecuador, Fundacion Futuro Latino Americano.",03/08/2024,03/08/2024,,Miscellaneous,Pippa Heylings,5078,,,,"Unpaid trustee of international NGO based in Ecuador, Fundacion Futuro Latino Americano.",Unpaid role
9973,,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,03/08/2024,03/08/2024,,Miscellaneous,Chris Kane,5155,,,,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,Other
9156,,"The Green Party is in receipt of donations to support legal costs in one legal action in which I am named as a party. The legal proceedings do not concern my personal rights or liabilities, I do not personally receive any donations and the Green Party has agreed to fully indemnify me for any charges and expenses.",02/08/2024,02/08/2024,,Miscellaneous,Adrian Ramsay,5320,25/10/2022,,,"The Green Party is in receipt of donations to support legal costs in one legal action in which I am named as a party. The legal proceedings do not concern my personal rights or liabilities, I do not personally receive any donations and the Green Party has agreed to fully indemnify me for any charges and expenses.",Fund to defray legal costs
7920,,Director of Piktical Ltd.,31/07/2024,02/08/2024,,Miscellaneous,Marie Goldman,5073,,,,Director of Piktical Ltd.,Financial interest or material benefit
9147,,Elected member of Bassetlaw District Council for Sturton Ward but no longer remunerated,01/08/2024,02/08/2024,,Miscellaneous,James Naish,5047,,,,Elected member of Bassetlaw District Council for Sturton Ward but no longer remunerated,Unpaid role
9132,,Member of the Sturton Le Steeple Quarry Liaison Committee run by Aggregate Industries as a result of being the Councillor for Sturton Ward in Bassetlaw,01/08/2024,02/08/2024,,Miscellaneous,James Naish,5047,,,,Member of the Sturton Le Steeple Quarry Liaison Committee run by Aggregate Industries as a result of being the Councillor for Sturton Ward in Bassetlaw,Unpaid role
9578,,Honorary President (unpaid) of East Grinstead Target Shooting Club> This is an upaid roled.,02/08/2024,02/08/2024,,Miscellaneous,Mims Davies,4513,04/04/2023,,,Honorary President (unpaid) of East Grinstead Target Shooting Club> This is an upaid roled.,Unpaid role
7636,,Director of AEC Ltd.,01/08/2024,02/08/2024,,Miscellaneous,Mr Gideon Amos,5250,,,,Director of AEC Ltd.,Financial interest or material benefit
9219,,"Kirk Session Member (trustee) of Fairmilehead Parish Church (Church of Scotland), Frogston Road, Edinburgh. This is an unpaid role.",02/08/2024,02/08/2024,,Miscellaneous,Dr Scott Arthur,5212,,,,"Kirk Session Member (trustee) of Fairmilehead Parish Church (Church of Scotland), Frogston Road, Edinburgh. This is an unpaid role.",Unpaid role
9563,,Member of Torquay Town Deal Board. This is an unpaid role.,02/08/2024,02/08/2024,,Miscellaneous,Steve Darling,5066,02/08/2024,,,Member of Torquay Town Deal Board. This is an unpaid role.,Unpaid role
9586,,"Unpaid Director, Route to Zero Ltd.",02/08/2024,02/08/2024,,Miscellaneous,Lauren Edwards,5298,,,,"Unpaid Director, Route to Zero Ltd.",Unpaid role
9598,,"Unpaid Director, Chatham Maritime Trust.",02/08/2024,02/08/2024,,Miscellaneous,Lauren Edwards,5298,,,,"Unpaid Director, Chatham Maritime Trust.",Unpaid role
6092,,Parish councillor. This is an unpaid role.,02/08/2024,02/08/2024,,Miscellaneous,Maya Ellis,5228,,,,Parish councillor. This is an unpaid role.,Unpaid role
7917,,Director of Red Glazing Systems Ltd.,31/07/2024,02/08/2024,,Miscellaneous,Marie Goldman,5073,,,,Director of Red Glazing Systems Ltd.,Financial interest or material benefit
7919,,Director of Red Installations Ltd.,31/08/2024,02/08/2024,,Miscellaneous,Marie Goldman,5073,,,,Director of Red Installations Ltd.,Financial interest or material benefit
9352,,Patron (Board Member) of Cowane's Hospital Trust.,02/08/2024,02/08/2024,,Miscellaneous,Chris Kane,5155,,05/07/2024,,Patron (Board Member) of Cowane's Hospital Trust.,Other
9357,,Board Member of the Central Scotland Valuation Joint Board.,02/08/2024,02/08/2024,,Miscellaneous,Chris Kane,5155,,,,Board Member of the Central Scotland Valuation Joint Board.,Other
9367,,Convention of Scottish Local Authorities (CoSLA).,02/08/2024,02/08/2024,,Miscellaneous,Chris Kane,5155,,,,Convention of Scottish Local Authorities (CoSLA).,Other
9374,,Substitute Member of Scotland Excel Joint Committee.,02/08/2024,02/08/2024,,Miscellaneous,Chris Kane,5155,,,,Substitute Member of Scotland Excel Joint Committee.,Other
6766,,"School Governor, Dr South's CE Primary School, Islip, Oxfordshire. This is an unpaid role.",02/08/2024,02/08/2024,,Miscellaneous,Calum Miller,5346,,,,"School Governor, Dr South's CE Primary School, Islip, Oxfordshire. This is an unpaid role.",Unpaid role
6767,,"Director, Bicester Vision Community Interest Company (CIC). This is an unpaid role.",02/08/2024,02/08/2024,,Miscellaneous,Calum Miller,5346,,,,"Director, Bicester Vision Community Interest Company (CIC). This is an unpaid role.",Unpaid role
9113,,Member of the STEP Strategic Collaboration Group (fusion energy prototype plant) as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,01/08/2024,02/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the STEP Strategic Collaboration Group (fusion energy prototype plant) as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9264,,"Project board member of the Jimmy Reid Foundation, a Scottish charitable incorporated organisation. This is an unpaid role.",02/08/2024,02/08/2024,,Miscellaneous,Joani Reid,5079,,,,"Project board member of the Jimmy Reid Foundation, a Scottish charitable incorporated organisation. This is an unpaid role.",Unpaid role
8022,,"Governor at Fairway Primary School, Offerton. This is an unpaid role.",01/08/2024,02/08/2024,,Miscellaneous,Lisa Smart,5070,,,,"Governor at Fairway Primary School, Offerton. This is an unpaid role.",Unpaid role
9215,,Volunteer and Treasurer of Doon valley amateur boxing club. This is an unpaid role.,02/08/2024,02/08/2024,,Miscellaneous,Elaine Stewart,5206,,,,Volunteer and Treasurer of Doon valley amateur boxing club. This is an unpaid role.,Unpaid role
6298,,Trustee of a CIO/CIC organisation called Northfleet Central. This is an unpaid role.,31/07/2024,02/08/2024,,Miscellaneous,Dr Lauren Sullivan,5269,,,,Trustee of a CIO/CIC organisation called Northfleet Central. This is an unpaid role.,Unpaid role
8365,,"Unpaid Director of Tisun Holdco Ltd and subsidiaries: Tisun One Ltd, Tisun Two Ltd, Tisun Three Ltd, Tisun Four Ltd.",31/07/2024,02/08/2024,,Miscellaneous,Richard Tice,5161,,,,"Unpaid Director of Tisun Holdco Ltd and subsidiaries: Tisun One Ltd, Tisun Two Ltd, Tisun Three Ltd, Tisun Four Ltd.",Unpaid role
6460,,Labour Party Staff Superannuation Scheme trustee. This is an unpaid role.,30/07/2024,02/08/2024,,Miscellaneous,Michael Wheeler,5242,,,,Labour Party Staff Superannuation Scheme trustee. This is an unpaid role.,Unpaid role
7033,,NASUWT National Executive Member for District 30 (North Wales). This is an unpaid role.,31/07/2024,02/08/2024,,Miscellaneous,Steve Witherden,5221,,18/07/2024,,NASUWT National Executive Member for District 30 (North Wales). This is an unpaid role.,Unpaid role
8699,,"Trustee of Sands End Arts & Community Centre, a charity that maintains and manages a public arts and community centre in Fulham, London. This is an unpaid role.",31/07/2024,01/08/2024,,Miscellaneous,Ben Coleman,5344,,,,"Trustee of Sands End Arts & Community Centre, a charity that maintains and manages a public arts and community centre in Fulham, London. This is an unpaid role.",Unpaid role
8859,,Liberal Democrat town councillor in the town of Didcot. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Olly Glover,5318,,,,Liberal Democrat town councillor in the town of Didcot. This is an unpaid role.,Unpaid role
6010,,Trustee of MammaKind - Baby Bank supporting families in south-east London. This is an unpaid role.,24/07/2024,01/08/2024,,Miscellaneous,Juliet Campbell,5058,,,,Trustee of MammaKind - Baby Bank supporting families in south-east London. This is an unpaid role.,Unpaid role
7343,,Deputy Leader of Ealing Council. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Deirdre Costigan,5075,,07/07/2024,,Deputy Leader of Ealing Council. This is an unpaid role.,Unpaid role
8574,,"Member of school governing body of Viking Primary school, Northolt. This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Deirdre Costigan,5075,,31/07/2024,,"Member of school governing body of Viking Primary school, Northolt. This is an unpaid role.",Unpaid role
8858,,I am a parish councillor in the parish of Milton. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Olly Glover,5318,05/07/2024,,,I am a parish councillor in the parish of Milton. This is an unpaid role.,Unpaid role
8710,,"Advisory Board member, Labour Campaign for International Development.",01/08/2024,01/08/2024,,Miscellaneous,Laura Kyrke-Smith,5341,,05/07/2024,,"Advisory Board member, Labour Campaign for International Development.",Formal role with a party organisation
8366,,"Trustee, 1st Welford on Avon Scout Group. This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Manuela Perteghella,5122,,,,"Trustee, 1st Welford on Avon Scout Group. This is an unpaid role.",Unpaid role
8367,,"Member of executive group, Stratford upon Avon and South Warwickshire Liberal Democrats.",01/08/2024,01/08/2024,,Miscellaneous,Manuela Perteghella,5122,,,,"Member of executive group, Stratford upon Avon and South Warwickshire Liberal Democrats.",Formal role with a party organisation
8368,,"Director Arts Rising Collective Community Interest Company, Stratford upon Avon. This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Manuela Perteghella,5122,,19/07/2024,,"Director Arts Rising Collective Community Interest Company, Stratford upon Avon. This is an unpaid role.",Unpaid role
8369,,Member of University College London Hospitals NHS Foundation Trust. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Manuela Perteghella,5122,,,,Member of University College London Hospitals NHS Foundation Trust. This is an unpaid role.,Unpaid role
6544,,Trustee of Barrack Hill Educational Charity. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Lisa Smart,5070,,,,Trustee of Barrack Hill Educational Charity. This is an unpaid role.,Unpaid role
6543,,Stockport Canal Boat Trust for Disabled People. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Lisa Smart,5070,,,,Stockport Canal Boat Trust for Disabled People. This is an unpaid role.,Unpaid role
8795,,Unpaid director of Joseph Rowntree Reform Trust Limited and JRRT (Properties) Limited. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Lisa Smart,5070,,,,Unpaid director of Joseph Rowntree Reform Trust Limited and JRRT (Properties) Limited. This is an unpaid role.,Unpaid role
8801,,Trustee of The JRSST Charitable Trust. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Lisa Smart,5070,,08/12/2023,,Trustee of The JRSST Charitable Trust. This is an unpaid role.,Unpaid role
8755,,Governor of the Stirlingshire Educational Trust. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Euan Stainbank,5110,,,,Governor of the Stirlingshire Educational Trust. This is an unpaid role.,Unpaid role
8757,,Governor of the Thomas & Margaret Roddan Trust. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Euan Stainbank,5110,,,,Governor of the Thomas & Margaret Roddan Trust. This is an unpaid role.,Unpaid role
8758,,Member of Scottish Labour Campaign For Socialism.,31/07/2024,01/08/2024,,Miscellaneous,Euan Stainbank,5110,22/07/2024,,,Member of Scottish Labour Campaign For Socialism.,Other
8779,,"Company Secretary, Yardley Programme Management Limited. This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Kirsteen Sullivan,5179,,,,"Company Secretary, Yardley Programme Management Limited. This is an unpaid role.",Unpaid role
8783,,"Company Director, Yardley Programme Management Limited. This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Kirsteen Sullivan,5179,,,,"Company Director, Yardley Programme Management Limited. This is an unpaid role.",Unpaid role
8824,,Chair of Age UK Gateshead. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Liz Twist,4618,01/07/2023,,,Chair of Age UK Gateshead. This is an unpaid role.,Unpaid role
7031,,Joint-Negotiating Secretary (Wrexham Teachers Joint Negotiating Committee) and Chairperson/Vice-Chairperson (Teachers Joint Consultative Committee). This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Steve Witherden,5221,,09/07/2024,,Joint-Negotiating Secretary (Wrexham Teachers Joint Negotiating Committee) and Chairperson/Vice-Chairperson (Teachers Joint Consultative Committee). This is an unpaid role.,Unpaid role
7034,,Negotiating Secretary NASUWT Wrexham Association. This is an unpaid role.,01/08/2024,01/08/2024,,Miscellaneous,Steve Witherden,5221,,,,Negotiating Secretary NASUWT Wrexham Association. This is an unpaid role.,Unpaid role
8790,,"Trustee and Chair, St Michael Mission Trust (registered charity). This is an unpaid role.",01/08/2024,01/08/2024,,Miscellaneous,Gregory Stafford,5351,,,,"Trustee and Chair, St Michael Mission Trust (registered charity). This is an unpaid role.",Unpaid role
1222,,"Engineer, Royal Mail. On unpaid leave since 13 December 2019.",08/01/2020,31/07/2024,14/04/2020,Miscellaneous,Tahir Ali,4747,,,,"Engineer, Royal Mail. On unpaid leave since 13 December 2019.",Unpaid role
1596,,"Chair (unpaid) of Protect the Black Horse, a not-for-profit community group established to undertake efforts to protect a local pub.",24/02/2023,31/07/2024,,Miscellaneous,James Murray,4797,11/03/2022,30/07/2024,,"Chair (unpaid) of Protect the Black Horse, a not-for-profit community group established to undertake efforts to protect a local pub.",Unpaid role
8030,,Honorary Fellowship of the Royal College of Psychiatrists.,29/07/2024,31/07/2024,,Miscellaneous,Robin Swann,5319,03/07/2023,,,Honorary Fellowship of the Royal College of Psychiatrists.,Other
8205,,Central Bedfordshire Councillor.,31/07/2024,31/07/2024,,Miscellaneous,Blake Stephenson,5100,,,,Central Bedfordshire Councillor.,Other
8568,,Chair of the Labour Party Irish Society.,31/07/2024,31/07/2024,,Miscellaneous,Liam Conlon,5132,,,,Chair of the Labour Party Irish Society.,Formal role with a party organisation
8584,,Chartered Architect Member of the Royal Institute of British Architects. This is an unpaid role.,31/07/2024,31/07/2024,,Miscellaneous,Mr Gideon Amos,5250,,,,Chartered Architect Member of the Royal Institute of British Architects. This is an unpaid role.,Unpaid role
8588,,Company Secretary of the 1949 Liberal Association.,31/07/2024,31/07/2024,,Miscellaneous,Steve Darling,5066,,,,Company Secretary of the 1949 Liberal Association.,Formal role with a party organisation
8201,,"Chair of Governors, Shillington and Stondon Federation. This is an unpaid role.",31/07/2024,31/07/2024,,Miscellaneous,Blake Stephenson,5100,,,,"Chair of Governors, Shillington and Stondon Federation. This is an unpaid role.",Unpaid role
8208,,Unpaid Director of Swallow Place Management Company Limited.,31/07/2024,31/07/2024,,Miscellaneous,Blake Stephenson,5100,,,,Unpaid Director of Swallow Place Management Company Limited.,Unpaid role
8193,,Trustee of the Classical Association. This is an unpaid role.,30/07/2024,31/07/2024,,Miscellaneous,Peter Swallow,5165,,07/07/2024,,Trustee of the Classical Association. This is an unpaid role.,Unpaid role
8194,,Trustee of Julian Light Operatic Society. This is an unpaid role.,30/07/2024,31/07/2024,,Miscellaneous,Peter Swallow,5165,,18/07/2024,,Trustee of Julian Light Operatic Society. This is an unpaid role.,Unpaid role
8578,,Member of Rochdale Supporters Club Limited. This is an unpaid role.,31/07/2024,31/07/2024,,Miscellaneous,Paul Waugh,5071,,,,Member of Rochdale Supporters Club Limited. This is an unpaid role.,Unpaid role
8143,,Unpaid Director of Home Safe Veterans & Homeless Support Ltd.  This entity is currently seeking charitable status.,30/07/2024,30/07/2024,,Miscellaneous,Mr Paul Foster,5074,29/07/2024,,,Unpaid Director of Home Safe Veterans & Homeless Support Ltd.  This entity is currently seeking charitable status.,Unpaid role
8064,,Unpaid Director of Grow Movement Ltd,30/07/2024,30/07/2024,,Miscellaneous,Chris Coghlan,5198,,09/07/2024,,Unpaid Director of Grow Movement Ltd,Unpaid role
8334,,Director of Adnaan Iqbal Mohamed Consulting Ltd.,30/07/2024,30/07/2024,,Miscellaneous,Iqbal Mohamed,5268,,10/07/2024,,Director of Adnaan Iqbal Mohamed Consulting Ltd.,Unpaid role
6181,,Board member of United Against Malnutrition and Hunger. This is an unpaid role.,30/07/2024,30/07/2024,,Miscellaneous,Kate Dearden,5224,,,,Board member of United Against Malnutrition and Hunger. This is an unpaid role.,Unpaid role
6182,,Board member of Unions21. This is an unpaid role.,30/07/2024,30/07/2024,,Miscellaneous,Kate Dearden,5224,,,,Board member of Unions21. This is an unpaid role.,Unpaid role
8336,,"Voluntary Committee Member of Mohaddis-e-Azam Mission Dewsbury UK, a registered charity. This is an unpaid role.",30/07/2024,30/07/2024,,Miscellaneous,Iqbal Mohamed,5268,,,,"Voluntary Committee Member of Mohaddis-e-Azam Mission Dewsbury UK, a registered charity. This is an unpaid role.",Unpaid role
7599,,Local Authority appointed representative of Maidenhead Arts Council. This is an unpaid role.,29/07/2024,30/07/2024,,Miscellaneous,Mr Joshua Reynolds,5343,,,,Local Authority appointed representative of Maidenhead Arts Council. This is an unpaid role.,Unpaid role
7638,,Army Cadet Force - Adult Instructor.,29/07/2024,29/07/2024,,Miscellaneous,Mr Gideon Amos,5250,,,,Army Cadet Force - Adult Instructor.,Financial interest or material benefit
6248,,"Chief Executive, Oasis Community Housing",29/07/2024,29/07/2024,,Miscellaneous,David Smith,5218,,11/07/2024,,"Chief Executive, Oasis Community Housing",Unpaid role
6634,,"Branch secretary, and delegate to the General Committee and Executive Committee of Carlisle Labour Party.",29/07/2024,29/07/2024,,Miscellaneous,Ms Julie Minns,5094,,28/07/2024,,"Branch secretary, and delegate to the General Committee and Executive Committee of Carlisle Labour Party.",Unpaid role
7824,,Unpaid director of Company [name redacted].,29/07/2024,29/07/2024,,Miscellaneous,Carla Denyer,5102,,,,Unpaid director of Company [name redacted].,Unpaid role
7228,,"Sunnylands Global Health, Food and Agriculture Advisory Committee.",29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,20/07/2024,,"Sunnylands Global Health, Food and Agriculture Advisory Committee.",Unpaid role
7227,,Trustee of Royal United Services Institute.,29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,18/07/2024,,Trustee of Royal United Services Institute.,Unpaid role
7781,,Co-leader of the Green Party of England and Wales.,28/07/2024,29/07/2024,,Miscellaneous,Carla Denyer,5102,,,,Co-leader of the Green Party of England and Wales.,Formal role with a party organisation
6338,,"Board Member, Fraserburgh South Links Sports Development Trust.",16/07/2024,29/07/2024,,Miscellaneous,Seamus Logan,5280,,,,"Board Member, Fraserburgh South Links Sports Development Trust.",Unpaid role
7967,,Unpaid directorship of Jelly Beans Nurture Nursery.,29/07/2024,29/07/2024,,Miscellaneous,Jodie Gosling,5036,,,,Unpaid directorship of Jelly Beans Nurture Nursery.,Unpaid role
7230,,The Ditchley Foundation -  Governor,29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,,,The Ditchley Foundation -  Governor,Unpaid role
7229,,European Council of Foreign Relations - Council Member,29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,18/07/2024,,European Council of Foreign Relations - Council Member,Unpaid role
7226,,General Counsel Assessor and Member of the University Court,29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,18/07/2024,,General Counsel Assessor and Member of the University Court,Unpaid role
7225,,Consequitur Limited - Board member,29/07/2024,29/07/2024,,Miscellaneous,Mr Douglas Alexander,632,,18/07/2024,,Consequitur Limited - Board member,Financial interest or material benefit
6623,,Party Treasurer for the Co-operative Party.,29/07/2024,29/07/2024,,Miscellaneous,Emma Foody,5029,,,,Party Treasurer for the Co-operative Party.,Formal role with a party organisation
1748,,An unpaid partner in Coillabus Farms.,16/11/2021,29/07/2024,,Miscellaneous,Mr Alistair Carmichael,1442,24/10/2021,,,An unpaid partner in Coillabus Farms.,Unpaid role
1427,,"Trustee of the Armed Forces Parliamentary Trust, the governance body for the Armed Forces Parliamentary Scheme.",27/09/2021,29/07/2024,,Miscellaneous,Stephen Doughty,4264,07/07/2021,10/07/2024,,"Trustee of the Armed Forces Parliamentary Trust, the governance body for the Armed Forces Parliamentary Scheme.",Unpaid role
1425,,Vice-President of the Cardiff and District United Nations Association (unremunerated).,01/05/2014,29/07/2024,,Miscellaneous,Stephen Doughty,4264,,26/07/2024,,Vice-President of the Cardiff and District United Nations Association (unremunerated).,Unpaid role
1426,,Vice-President of The Penarth Civic Society.,04/06/2014,29/07/2024,,Miscellaneous,Stephen Doughty,4264,,26/07/2024,,Vice-President of The Penarth Civic Society.,Unpaid role
1424,,"Honorary Patron (unremunerated), Moorland Day Centre, Cardiff.",16/12/2012,29/07/2024,31/08/2016,Miscellaneous,Stephen Doughty,4264,01/08/2016,26/07/2024,,"Honorary Patron (unremunerated), Moorland Day Centre, Cardiff.",Unpaid role
7637,,Partner of French Weir Affordable Homes LLP.,26/07/2024,29/07/2024,,Miscellaneous,Mr Gideon Amos,5250,,,,Partner of French Weir Affordable Homes LLP.,Financial interest or material benefit
7954,,Chair of Dormers Wells Learning Trust. This is an unpaid role.,29/07/2024,29/07/2024,,Miscellaneous,Callum Anderson,5193,,,,Chair of Dormers Wells Learning Trust. This is an unpaid role.,Unpaid role
6770,,Councillor for Forest of Dean District Council. This is an unpaid role.,19/07/2024,29/07/2024,,Miscellaneous,Matt Bishop,5323,,,,Councillor for Forest of Dean District Council. This is an unpaid role.,Unpaid role
7988,,Member of Lake District National Park Authority. This is an unpaid role.,29/07/2024,29/07/2024,,Miscellaneous,Markus Campbell-Savours,5124,,,,Member of Lake District National Park Authority. This is an unpaid role.,Unpaid role
7196,,Director of Kirklees Stadium Development Ltd. This is an unpaid role.,29/07/2024,29/07/2024,,Miscellaneous,Paul Davies,5317,,13/07/2024,,Director of Kirklees Stadium Development Ltd. This is an unpaid role.,Unpaid role
7706,,Unpaid Director of QED (KMC) Ltd.,27/07/2024,29/07/2024,,Miscellaneous,Paul Davies,5317,,22/07/2024,,Unpaid Director of QED (KMC) Ltd.,Unpaid role
7707,,Unpaid Director of QED(KMC) Holdings Ltd.,27/07/2024,29/07/2024,,Miscellaneous,Paul Davies,5317,,22/07/2024,,Unpaid Director of QED(KMC) Holdings Ltd.,Unpaid role
7787,,"Shares (not registrable under Category 7) in Bristol Community Energy Ltd, Bristol Energy Cooperative.",28/07/2024,29/07/2024,,Miscellaneous,Carla Denyer,5102,,,,"Shares (not registrable under Category 7) in Bristol Community Energy Ltd, Bristol Energy Cooperative.",Financial interest or material benefit
7792,,Member of ACORN Community Union.,29/07/2024,29/07/2024,,Miscellaneous,Carla Denyer,5102,,,,Member of ACORN Community Union.,Other
8021,,Member of Labour NEC. This is an unpaid role.,29/07/2024,29/07/2024,,Miscellaneous,Mark Ferguson,5031,,05/07/2024,,Member of Labour NEC. This is an unpaid role.,Unpaid role
