ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy
2516,,Shares in Brockthorpe Consultancy Ltd,09/01/2020,24/12/2023,03/08/2024,Shareholdings,Robbie Moore,4861,(i) Shareholdings: over 15% of issued share capital,,17/11/2023,Brockthorpe Consultancy Ltd,Consultants and rural surveyors,,
2444,,Shares in West Central Ltd,10/01/2020,24/12/2023,,Shareholdings,Saqib Bhatti,4818,(i) Shareholdings: over 15% of issued share capital,,,West Central Ltd,Consultancy and e-commerce,,
2457,,Shares in Gresham Hall Glamping Ltd,09/01/2023,24/12/2023,,Shareholdings,Sir Geoffrey Clifton-Brown,249,(i) Shareholdings: over 15% of issued share capital,26/05/2021,,Gresham Hall Glamping Ltd,,,
2459,,Shares in Thomas More Property Holdings Ltd,05/06/2015,24/12/2023,,Shareholdings,Sir Geoffrey Cox,1508,(i) Shareholdings: over 15% of issued share capital,,,Thomas More Property Holdings Ltd,Property holding company,,
2488,,Shares in Habitats Online Ltd,10/01/2022,24/12/2023,,Shareholdings,Kevin Hollinrake,4474,(i) Shareholdings: over 15% of issued share capital,22/12/2021,,Habitats Online Ltd,Lettings and estate agency services,,
2500,,Shares in Progression Ltd,08/06/2015,24/12/2023,,Shareholdings,Peter Kyle,4505,(i) Shareholdings: over 15% of issued share capital,,,Progression Ltd,Sporting Video Company,,
2502,,Shares in CMAL Limited,26/05/2015,24/12/2023,,Shareholdings,Chris Law,4403,(i) Shareholdings: over 15% of issued share capital,,,CMAL Limited,Financial services company,,
2528,,Shares in MAP Advisory Ltd,07/09/2013,24/12/2023,25/04/2022,Shareholdings,Mark Pritchard,1576,(i) Shareholdings: over 15% of issued share capital,,,MAP Advisory Ltd,,,
2553,,Shares in Pettitts Ltd,04/06/2015,24/12/2023,,Shareholdings,Daniel Zeichner,4382,(i) Shareholdings: over 15% of issued share capital,,,Pettitts Ltd,Management for the shared freehold flats of which I am a resident.,,
2503,,Shares in Toussaint Ventures Ltd,08/08/2022,24/12/2023,14/02/2024,Shareholdings,Clive Lewis,4500,(i) Shareholdings: over 15% of issued share capital,15/07/2022,,Toussaint Ventures Ltd,Provides support for my political campaigning and activities.,,
2550,,Shares in Lashkar and Co Ltd,04/06/2015,24/12/2023,22/01/2024,Shareholdings,Tom Tugendhat,4462,(i) Shareholdings: over 15% of issued share capital,,29/08/2023,Lashkar and Co Ltd,"Strategic advice and leadership mentoring, US real estate",,
2454,,Shares in Coillabus Farms,16/11/2021,24/12/2023,,Shareholdings,Mr Alistair Carmichael,1442,(i) Shareholdings: over 15% of issued share capital,24/10/2021,,Coillabus Farms,A firm which manages two farms and the letting of self-catering holiday accommodation on Islay.,,
2487,,Shares in Compotex GmbH,05/07/2017,24/12/2023,,Shareholdings,Wera Hobhouse,4602,(i) Shareholdings: over 15% of issued share capital,,,Compotex GmbH,Technical textile finishing,,
2524,,Shares in Pluto Silverstone Co Invest LLP,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Pluto Silverstone Co Invest LLP,Property finance and investment,,
2526,,Shares in Pluto Development Partners LLP,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Pluto Development Partners LLP,Property finance and investment,,
2464,,Shares in Vintage Ghetto,10/08/2023,24/12/2023,,Shareholdings,Sarah Dyke,4995,(i) Shareholdings: over 15% of issued share capital,,,Vintage Ghetto,A retail company,,
2469,,Shares in Bill Esterson Campaigns Ltd,14/10/2016,24/12/2023,,Shareholdings,Bill Esterson,4061,(i) Shareholdings: over 15% of issued share capital,26/09/2016,,Bill Esterson Campaigns Ltd,,,
2544,,Shares in CSL Publishing Ltd,,24/12/2023,02/11/2015,Shareholdings,Graham Stuart,1482,(i) Shareholdings: over 15% of issued share capital,,,CSL Publishing Ltd,,,
2458,,Shares in Thomas More International Ltd,05/06/2015,24/12/2023,,Shareholdings,Sir Geoffrey Cox,1508,(i) Shareholdings: over 15% of issued share capital,,,Thomas More International Ltd,International law firm,,
2501,,Shares in The Argument Ltd,15/12/2015,24/12/2023,,Shareholdings,Peter Kyle,4505,(i) Shareholdings: over 15% of issued share capital,03/11/2015,,The Argument Ltd,A journal,,
2519,,Shares in Kate Osborne Campaigns Ltd,14/10/2022,24/12/2023,,Shareholdings,Kate Osborne,4783,(i) Shareholdings: over 15% of issued share capital,06/10/2022,,Kate Osborne Campaigns Ltd,,,
2443,,Shares in Younis Bhatti & Co. Ltd,10/01/2020,24/12/2023,,Shareholdings,Saqib Bhatti,4818,(i) Shareholdings: over 15% of issued share capital,,,Younis Bhatti & Co. Ltd,Chartered accountants,,
2472,,Shares in Finucane Toner Ltd,07/01/2020,24/12/2023,,Shareholdings,John Finucane,4823,(i) Shareholdings: over 15% of issued share capital,,,Finucane Toner Ltd,Solicitors,,
2489,,Shares in Mare Pond Properties Ltd,07/03/2018,24/12/2023,,Shareholdings,Jeremy Hunt,1572,(i) Shareholdings: over 15% of issued share capital,19/09/2017,,Mare Pond Properties Ltd,A property holding company,Owned jointly with my wife,
2552,,Shares in Gratton Lansdowne,19/11/2021,24/12/2023,,Shareholdings,Sir Gavin Williamson,4108,(i) Shareholdings: over 15% of issued share capital,25/10/2021,,Gratton Lansdowne,A company set up to manage my financial affairs and investments.,,
2509,,Shares in County Finance Group Ltd,02/06/2015,24/12/2023,,Shareholdings,Kit Malthouse,4495,(i) Shareholdings: over 15% of issued share capital,,,County Finance Group Ltd,Provision of equipment finance,,
2521,,Shares in Pluto Capital Management LLP,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Pluto Capital Management LLP,Property finance and investment,,
2514,,Shares in Blue Collar Productions,29/10/2020,24/12/2023,,Shareholdings,Esther McVey,4084,(i) Shareholdings: over 15% of issued share capital,01/10/2020,,Blue Collar Productions,A television production company,,
2527,,Shares in New Road Management,13/12/2012,24/12/2023,13/05/2021,Shareholdings,Lucy Powell,4263,(i) Shareholdings: over 15% of issued share capital,,,New Road Management,A property management company,,
2452,,Shares in Richard Burgon Campaigns Ltd,28/03/2023,24/12/2023,,Shareholdings,Richard Burgon,4493,(i) Shareholdings: over 15% of issued share capital,17/01/2022,,Richard Burgon Campaigns Ltd,,,
2512,,Shares in Thorpe and Felthorpe Trust,07/01/2020,24/12/2023,,Shareholdings,Jerome Mayhew,4739,(i) Shareholdings: over 15% of issued share capital,,,Thorpe and Felthorpe Trust,Land and property management and development,,
2542,,Shares in Highland Fine Houses Ltd,07/07/2017,24/12/2023,,Shareholdings,Jamie Stone,4612,(i) Shareholdings: over 15% of issued share capital,,,Highland Fine Houses Ltd,Property company,,
2517,,Shares in DM Electronics Ltd,02/06/2015,24/12/2023,03/05/2018,Shareholdings,Wendy Morton,4358,(i) Shareholdings: over 15% of issued share capital,,,DM Electronics Ltd,An electronics design and manufacturing company,,
2520,,Shares in Afrika Connekt Ltd,07/01/2020,24/12/2023,,Shareholdings,Taiwo Owatemi,4779,(i) Shareholdings: over 15% of issued share capital,,,Afrika Connekt Ltd,A clothing company,,
2442,,Shares in Apsana Begum Ltd,27/02/2023,24/12/2023,,Shareholdings,Apsana Begum,4790,(i) Shareholdings: over 15% of issued share capital,10/01/2023,,Apsana Begum Ltd,A company created to deliver campaigns and support my work as an MP.,,
2522,,Shares in Millgap Ltd,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Millgap Ltd,"Consulting, advisory and investment",,
2525,,Shares in Pluto Monza Co Invest LLP,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Pluto Monza Co Invest LLP,Property finance and investment,,
2543,,Shares in Venture Marketing Group Ltd,,24/12/2023,,Shareholdings,Mel Stride,3935,(i) Shareholdings: over 15% of issued share capital,,,Venture Marketing Group Ltd,"Publisher, organiser of exhibitions and conferences",,
2545,,Shares in Zarah Sultana Campaigns Ltd,27/03/2023,24/12/2023,,Shareholdings,Zarah Sultana,4786,(i) Shareholdings: over 15% of issued share capital,12/11/2021,,Zarah Sultana Campaigns Ltd,,,
2523,,Shares in Pluto Partners LLP,05/06/2015,24/12/2023,,Shareholdings,Chris Philp,4503,(i) Shareholdings: over 15% of issued share capital,,,Pluto Partners LLP,Property finance and investment,,
2456,,Shares in Carclew Limited,,24/12/2023,20/06/2017,Shareholdings,Sir Christopher Chope,242,(i) Shareholdings: over 15% of issued share capital,,,Carclew Limited,,,
1332,,Shares in Blue International Group,12/04/2021,17/12/2023,,Shareholdings,John Glen,4051,"(ii) Other shareholdings, valued at more than £70,000",05/04/2021,,Blue International Group,Natural resources business operating in Sub Saharan Africa.,,
1334,,Shares in Property Franchise Group plc,26/04/2021,17/12/2023,27/04/2021,Shareholdings,Kevin Hollinrake,4474,"(ii) Other shareholdings, valued at more than £70,000",19/03/2021,,Property Franchise Group plc,A multi-brand lettings and estate agency franchising group.,,
1350,,Shares in Creightons plc,15/10/2021,17/12/2023,26/02/2024,Shareholdings,Sir Bernard Jenkin,40,"(ii) Other shareholdings, valued at more than £70,000",30/07/2021,11/08/2023,Creightons plc,Manufacturer of cosmetics and toiletries,,
1345,,Shares in Genie International Toys,,17/12/2023,31/01/2022,Shareholdings,Jesse Norman,3991,"(ii) Other shareholdings, valued at more than £70,000",,,Genie International Toys,Toy design and manufacture,,
1342,,Shares in Equinox International Holdings Limited,14/11/2022,17/12/2023,,Shareholdings,Mr Andrew Mitchell,1211,"(ii) Other shareholdings, valued at more than £70,000",20/08/2021,,Equinox International Holdings Limited,Life sciences,,
1337,,Shares in Apple,05/07/2017,17/12/2023,,Shareholdings,Matt Western,4617,"(ii) Other shareholdings, valued at more than £70,000",,,Apple,Technology company,,
1381,,Shares in Crypto Quantique Ltd,30/08/2017,17/12/2023,22/01/2024,Shareholdings,Tom Tugendhat,4462,"(ii) Other shareholdings, valued at more than £70,000",05/04/2022,09/05/2023,Crypto Quantique Ltd,A quantum encryption company.,,Trust
1331,,Shares in Softiron,10/01/2020,17/12/2023,,Shareholdings,John Glen,4051,"(ii) Other shareholdings, valued at more than £70,000",25/11/2019,,Softiron,Design and development of application software for data storage.,,
1330,,Shares in Endava Ltd,19/05/2015,17/12/2023,,Shareholdings,John Glen,4051,"(ii) Other shareholdings, valued at more than £70,000",08/05/2015,,Endava Ltd,IT services and consultancy,,
1380,,Shares in Business Funding Research Ltd (trading as Beauhurst Ltd),04/06/2015,17/12/2023,22/01/2024,Shareholdings,Tom Tugendhat,4462,"(ii) Other shareholdings, valued at more than £70,000",01/12/2019,09/05/2023,Business Funding Research Ltd (trading as Beauhurst Ltd),Corporate data,,Trust
1348,,Shares in Capital plc,15/10/2021,17/12/2023,26/02/2024,Shareholdings,Sir Bernard Jenkin,40,"(ii) Other shareholdings, valued at more than £70,000",01/05/2021,10/08/2023,Capital plc,Mining equipment and services,,
1355,,Shares in Alphabet Inc.,16/08/2019,17/12/2023,18/10/2023,Shareholdings,Nigel Huddleston,4407,"(ii) Other shareholdings, valued at more than £70,000",11/10/2023,,Alphabet Inc.,,,
1382,,Shares in AccuRx Ltd,08/04/2019,17/12/2023,22/01/2024,Shareholdings,Tom Tugendhat,4462,"(ii) Other shareholdings, valued at more than £70,000",05/04/2019,09/05/2023,AccuRx Ltd,A software company building technology to improve communication in healthcare.,,Trust
1353,,Shares in Walsingham Estate Co Ltd (beneficial interest),07/01/2020,17/12/2023,06/07/2020,Shareholdings,Jerome Mayhew,4739,"(ii) Other shareholdings, valued at more than £70,000",,,Walsingham Estate Co Ltd (beneficial interest),"Farming, land and property management, retail and finance",,
