ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,VisitLocations,VisitLocations_1_Country,VisitLocations_1_Destination,Purpose,StartDate,EndDate,Appg,Donors,Donors_1_Name,Donors_1_IsPrivateIndividual,Donors_1_PublicAddress,Donors_1_PaymentType,Donors_1_PaymentDescription,Donors_1_Value,Donors_1_IsSoleBeneficiary,VisitLocations_2_Country,VisitLocations_2_Destination,VisitLocations_3_Country,VisitLocations_3_Destination,Donors_2_Name,Donors_2_IsPrivateIndividual,Donors_2_PublicAddress,Donors_2_PaymentType,Donors_2_PaymentDescription,Donors_2_Value,Donors_2_IsSoleBeneficiary,Donors_3_Name,Donors_3_IsPrivateIndividual,Donors_3_PublicAddress,Donors_3_PaymentType,Donors_3_PaymentDescription,Donors_3_Value,Donors_3_IsSoleBeneficiary,Donors_4_Name,Donors_4_IsPrivateIndividual,Donors_4_PublicAddress,Donors_4_PaymentType,Donors_4_PaymentDescription,Donors_4_Value,Donors_4_IsSoleBeneficiary,Donors_5_Name,Donors_5_IsPrivateIndividual,Donors_5_PublicAddress,Donors_5_PaymentType,Donors_5_PaymentDescription,Donors_5_Value,Donors_5_IsSoleBeneficiary,Link_1
6514,,International visit to Israel between 24 March 2024 and 28 March 2024,2024-07-17,2024-07-17,,Visits outside the UK,Mike Reader,5316,,Israel,Israel and Palestine,"Fact finding visit including meetings with Palestinian authorities, Opposition parties, Journalists and NGOs.",24/03/2024,28/03/2024,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2400.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6514
6475,,International visit to Israel between 12 February 2024 and 16 February 2024,2024-07-16,2024-07-17,,Visits outside the UK,Bradley Thomas,5186,,Israel,,Fact finding political delegation,12/02/2024,16/02/2024,,,Conservative Friends of Israel (CFI Ltd),False,"CFI Ltd, PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",2650.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6475
6521,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-17,2024-07-17,,Visits outside the UK,Jake Richards,5082,,Israel,,"Fact-finding visit. Meeting with Israeli and Palestinian politicians, activists, academics, and diplomats.",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation, and meals",2200.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6521
6524,,International visit to Taiwan between 07 May 2024 and 17 July 2024,2024-07-17,2024-07-17,,Visits outside the UK,Sarah Champion,4267,,Taiwan,,Inauguration of the President,07/05/2024,17/07/2024,,,MOFA Taiwan,False,"50 Grosvenor Gardens, London SW1W 0EB",In kind,"Flights (£4,210), Hotel (approx. £850)
Local transportation (high speed railway only) (approx. £70) and food (approx. £340)",5470.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6524
6257,,International visit to Israel between 24 March 2024 and 28 March 2024,2024-07-15,2024-07-16,,Visits outside the UK,Matthew Patrick,5162,,Israel,,"Fact-finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",24/03/2024,28/03/2024,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2400.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6257
6119,,International visit to Singapore between 06 May 2024 and 10 May 2024,2024-07-11,2024-07-11,,Visits outside the UK,Sarah Jones,4631,,Singapore,,"To inform my work as Shadow Industry Minister to meet with political counterparts, officials and skills and industry leaders.",06/05/2024,10/05/2024,,,Lord David Sainsbury,True,,In kind,"Estimate of flights (£3,644.78), accommodation (£1,144.90), transport and additional travel expenses (£508.49) for both Member and staff",5298.17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6119
6188,,International visit to Australia between 03 May 2024 and 10 May 2024,2024-07-11,2024-07-11,,Visits outside the UK,Seema Malhotra,4253,,Australia,Melbourne,To inform my work as Shadow Skills Minister by researching international skills systems and meeting with international skills stakeholders and ministers.,03/05/2024,10/05/2024,,,Lord David Sainsbury,True,,Monetary,"Return trip London to Singapore, accommodation and personal expenses for visit to Singapore, accompanied by a parliamentary assistant",1456.32,False,Singapore,,,,Labour Party,False,"20 Rushworth Street, London SE1 2SS",In kind,"(1) Return trip Singapore to Melbourne, Australia (travel only)",600.00,True,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6188
5968,,International visit to Ethiopia between 12 May 2024 and 16 May 2024,2024-07-09,2024-07-11,,Visits outside the UK,Mr Tanmanjeet Singh Dhesi,4638,,Ethiopia,,"To visit Ethiopia as Vice-Chair of the All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases, to see first-hand the impact of malaria and neglected tropical diseases on local communities and the work of governments, civil society, health workers, academic and research institutions, and local communities in tackling these diseases.",12/05/2024,16/05/2024,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,False,"All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases c/o Malaria No More UK, Millbank Tower, 21-24 Millbank, London SW1P 4QP",In kind,"Flights (£890), Visa (£60), Accommodation (£405), Travel medication (£65), Parking – (£175), Food and in-country expenses (£245)",1840.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5968
5879,,International visit to Ireland between 10 May 2024 and 12 May 2024,2024-05-24,2024-05-24,,Visits outside the UK,Jeremy Corbyn,185,,Ireland,Dublin,To speak at the Robert Tressell Festival.,10/05/2024,12/05/2024,,,Robert Tressell Festival Organising Committee,False,"Connect Trade Union, 6, Gardiner Row, Dublin 1",In kind,Flights (£234.60) and accommodation (£540.42),775.02,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5879
5857,,International visit to United States between 28 April 2024 and 03 May 2024,2024-05-23,2024-05-23,,Visits outside the UK,Apsana Begum,4790,,United States,,To attend the United Nations Commission on Population and Development 2024.,28/04/2024,03/05/2024,"Population, Development & Reproductive Health",,European Parliamentary Forum on Sexual and Reproductive Rights,False,"Sq. de Meeûs 18, 1050 Ixelles, Belgium",In kind,"Flight and visa (£884.30), accommodation (£1070.48), other travel/misc (£239.59), per diem (£551.07), other food and drinks (£177.99)",2923.43,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5857
5840,,International visit to Bangladesh between 12 May 2024 and 18 May 2024,2024-05-21,2024-05-22,,Visits outside the UK,Dr Rupa Huq,4511,,Bangladesh,Dhaka,"To participate in the UNFPA Global Dialogues on Demographic Diversity and Sustainable Development in the framework of ICPD 30, and a mini study tour on SRHR in Bangladesh.",12/05/2024,18/05/2024,,,European Parliamentary Forum for Sexual and Reproductive Rights,False,"Square de Meeûs 18, 1050 Brussels",In kind,"Flights, hotel, per diem, visa, taxi and UK transport",2051.20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5840
5829,,International visit to United States between 06 May 2024 and 10 May 2024,2024-05-21,2024-05-22,,Visits outside the UK,Mr Tanmanjeet Singh Dhesi,4638,,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",06/05/2024,10/05/2024,,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£443.24), accommodation, tax and room charges (£1,568.35), food (£233.20), and flights (£855.43), airport parking (£81.70)",3181.92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5829
5825,,International visit to Qatar between 26 April 2024 and 01 May 2024,2024-05-20,2024-05-21,,Visits outside the UK,Florence Eshalomi,4870,,Qatar,Doha,"Cross Party delegation visit to engage with Qatari Ministers, senior officials, British Ambassador, council members and local organisations on UK-Qatari interests.",26/04/2024,01/05/2024,,,"Ministry of Foreign Affairs, Qatar",False,"Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights, accommodation, and food",5800.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5825
5773,,International visit to United States between 06 May 2024 and 10 May 2024,2024-05-15,2024-05-17,,Visits outside the UK,Stephen Kinnock,4359,,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",06/05/2024,10/05/2024,,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£443.24), accommodation, tax and room charges (£1,568.35), food (£233.20) and flights (£855.43)",3100.22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5773
5799,,International visit to Qatar between 26 April 2024 and 30 April 2024,2024-05-17,2024-05-17,,Visits outside the UK,Marsha De Cordova,4676,,Qatar,,"Cross party delegation to engage with Ministers, Council Members and senior officials on UK-Qatari interests focussed on Foreign Policy, including Qatar's role in seeking to resolve regional conflict.",26/04/2024,30/04/2024,,,"Ministry of Foreign Affairs, Qatar",False,"Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights, accommodation, in country transportation and refreshments",5800.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5799
5734,,International visit to Germany between 19 April 2024 and 21 April 2024,2024-05-14,2024-05-16,,Visits outside the UK,Alan Mak,4484,,Germany,,Conference attendance.,19/04/2024,21/04/2024,,,Konrad-Adenauer-Stiftung,False,"42 Essex Street, London WC2R 3JF",In kind,"Flights, accommodation, transfers, catering and sundries",811.19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5734
5778,,International visit to United States between 10 April 2024 and 12 April 2024,2024-05-14,2024-05-16,,Visits outside the UK,Liam Byrne,1171,,United States,Washington DC and Chicago,"(1) In my capacity as Chair of the Parliamentary Network on the World Bank and international Monetary Fund, to attend the World Bank IMF Spring Meetings.  (2) Invited to present a lecture at the University on the Inequality of Wealth.",10/04/2024,12/04/2024,,,The Parliamentary Network on the World Bank & International Monetary Fund,False,"66 avenue d'Iéna, 75116 Paris, France",In kind,"Flights (£1,446) accommodation (£1,588) and sundries (estimated at £100)",3134.00,True,,,,,"The Stone Center, Harris School of Public Policy",False,"University of Chicago, 5801 S. Ellis Ave. Chicago, IL 60637, USA",In kind,Accommodation (£650) and sundries (estimated at £100),750.00,True,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5778
5781,,International visit to United States between 06 May 2024 and 10 May 2024,2024-05-15,2024-05-16,,Visits outside the UK,Dr Kieran Mullan,4860,,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",06/05/2024,10/05/2024,,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£443.24), accommodation, tax and room charges (£1,568.35), food (£233.20) and flights (£855.43)",3100.22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5781
5718,,International visit to Qatar between 26 April 2024 and 01 May 2024,2024-05-13,2024-05-13,,Visits outside the UK,Chris Law,4403,,Qatar,,"Cross party delegation to engage with ministers, council members and senior officials on UK-Qatari interests focussed on foreign policy, including Qatar's role in seeking to resolve regional conflict and bring about stability; aviation, media, communication and technology policy.",26/04/2024,01/05/2024,,,"Ministry of Foreign Affairs, Qatar",False,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights, accommodation and associated costs",5800.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5718
5608,,International visit to United States between 24 April 2024 and 30 April 2024,2024-05-03,2024-05-03,,Visits outside the UK,Paul Maskey,4245,,United States,Philadelphia and Pittsburgh,To speak at Irish Society of Philadelphia Annual Dinner and meet political and civic leaders and to speak at Irish America Unity Conference event on Irish Unity.,24/04/2024,30/04/2024,,,Friends of Sinn Féin USA,False,"1212 Avenue of the Americas, 5th Floor
New York, NY 10036",In kind,"Flights, Dublin – Philadelphia-Pittsburgh- Dublin",895.00,True,,,,,Irish Society of Philadelphia,False,"325 Chestnut St, Philadelphia, PA 19106",In kind,Accommodation costs (£480) and meals (£120),600.00,True,Irish American Unity Conference,False,"1147 Lindsay Rd, Carnegie, PA 15106",In kind,Accommodation Costs,160.00,True,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5608
5583,,International visit to Belgium between 04 April 2024 and 05 April 2024,2024-05-01,2024-05-02,,Visits outside the UK,Jeremy Corbyn,185,,Belgium,Brussels,To speak at the International Conference on “Europe for the People”.,04/04/2024,05/04/2024,,,Party of the European Left,False,"Square de Meeûs 25, Brussels",In kind,Travel (£226.04) and accommodation (£124.86),350.90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5583
5574,,International visit to United States between 16 April 2024 and 21 April 2024,2024-05-01,2024-05-01,,Visits outside the UK,Lisa Nandy,4082,,United States,Washington DC,To attend IMF/World Bank Spring meetings in my capacity of Shadow Cabinet Minister for International Development.,16/04/2024,21/04/2024,,,Eleanor Crook Foundation,False,"1049 30th Street NW, Washington DC 20007",In kind,"Flights, accommodation, food and subsistence for myself and a member of staff",5554.56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5574
5479,,International visit to Israel between 07 April 2024 and 10 April 2024,2024-04-26,2024-04-26,,Visits outside the UK,Jim Shannon,4131,,Israel,Tel Aviv and Kfar Aza,UK and German State Parliamentarian Delegation to Israel.,07/04/2024,10/04/2024,,,European Leadership Network (ELNET UK),False,"Epworth House, 25 City Rd, London EC1Y 1AA",In kind,"Accommodation (£892), flights (£1081) and food (£344)",2317.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5479
5493,,International visit to Israel between 31 March 2024 and 04 April 2024,2024-04-25,2024-04-25,,Visits outside the UK,Suella Braverman,4475,,Israel,,Solidarity visit to Israel following October 7th attacks.,31/03/2024,04/04/2024,,,National Jewish Assembly,False,"National Jewish Assembly, Suite 12, 116 Ballards Lane, London N3 2DN",In kind,"A four night trip to Israel for my husband and I including
flights (£989.74 for two return flights to Tel Aviv), accommodation, meals and visits within Israel (£26,811.53)",27801.27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5493
5494,,International visit to Saudi Arabia between 11 January 2024 and 13 January 2024,2024-04-24,2024-04-25,,Visits outside the UK,Ms Nusrat Ghani,4460,,Saudi Arabia,Jeddah,Personal visit.,11/01/2024,13/01/2024,,,"Minister of Industry and Mineral Resources, Kingdom of Saudi Arabia",False,"King Fahd Street, 12363 Riyadh",In kind,Return flights from Riyadh to Jeddah,886.10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5494
5506,,International visit to Belgium on 16 April 2024,2024-04-25,2024-04-25,,Visits outside the UK,Suella Braverman,4475,,Belgium,,To speak at a conference in Brussels.,16/04/2024,16/04/2024,,,Edmund Burke Foundation,False,"Edmund Burke Foundation, 300 Independence Avenue SE, Washington, DC 20003",In kind,"Eurostar train tickets, return London-Brussels, plus transfers",766.15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5506
5180,,International visit to Taiwan between 29 March 2024 and 05 April 2024,2024-04-16,2024-04-18,,Visits outside the UK,Dame Diana Johnson,1533,,Taiwan,,"Delegation to Taipei organised by Labour Friends of Taiwan to meet with the President, Foreign Minister, Speaker of the Taiwanese Parliament and other officials.",29/03/2024,05/04/2024,,,Taiwanese Ministry of Foreign Affairs,False,"2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100202, Taiwan",In kind,"Flights, accommodation, local transportation and meals",6832.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5180
4749,,International visit to Switzerland between 28 January 2024 and 29 January 2024,2024-03-13,2024-04-15,2024-04-11,Visits outside the UK,Ian Murray,3966,,Switzerland,Lusanne,Delegation to examine pumped hydro.,28/01/2024,29/01/2024,,,Glen Earrach Energy Ltd,False,"50 Lothian Road, Festival Square, Edinburgh EH3 9WJ",In kind,"Hotel, travel and costs for myself and my political adviser",1498.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4749
5087,,International visit to China between 19 March 2024 and 23 March 2024,2024-04-15,2024-04-15,,Visits outside the UK,Catherine West,4523,,China,Beijing,APPG China Group visit to participate in the 12th UK-China Senior Leadership Forum and Parliamentary delegation.,19/03/2024,23/03/2024,All-Party Parliamentary China Group,,Great Britain China Centre,False,"Kings Buildings, Smith Square, London SW1P 3HQ",In kind,"Flight (£1,217), hotel stays (three nights from 20-23 March, £423), meals and drinks (£63), and visa costs (£305)",2008.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5087
4664,,International visit to Slovenia between 22 February 2024 and 24 February 2024,2024-03-07,2024-04-15,2024-03-22,Visits outside the UK,Jeremy Corbyn,185,,Slovenia,Ljubljana,To speak at Levica conference.,22/02/2024,24/02/2024,,,Levica (The Left Slovenia),False,"Prešernova cesta 3, 1000 Ljubljana, Slovenia",In kind,Flights (£537.46) and accommodation (£209),746.46,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4664
5218,,International visit to Israel between 24 March 2024 and 28 March 2024,2024-04-11,2024-04-14,,Visits outside the UK,Damien Egan,5010,,Israel,Israel and Palestinian Territories,"Fact finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",24/03/2024,28/03/2024,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2400.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5218
5242,,International visit to Taiwan between 29 March 2024 and 05 April 2024,2024-04-12,2024-04-14,,Visits outside the UK,Andrew Western,4979,,Taiwan,Taipei,"Delegation organised by Labour Friends of Taiwan to meet with the President, Foreign Minister, Speaker of the Taiwanese Parliament and other officials.",29/03/2024,05/04/2024,,,Taiwanese Ministry of Foreign Affairs,False,"2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100202, Taiwan",In kind,"Flights, accommodation, local transportation and meals",6832.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5242
5145,,International visit to Taiwan between 29 March 2024 and 05 April 2024,2024-04-11,2024-04-14,,Visits outside the UK,Mrs Sharon Hodgson,1521,,Taiwan,Taipei,"Delegation organised by Labour Friends of Taiwan to meet with the President, Foreign Minister, Speaker of the Taiwanese Parliament and other officials.",29/03/2024,05/04/2024,,,Taiwanese Ministry of Foreign Affairs,False,"2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100202, Taiwan",In kind,"Flights, accommodation and meals",6832.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5145
5183,,International visit to Taiwan between 29 March 2024 and 05 April 2024,2024-04-10,2024-04-10,,Visits outside the UK,Navendu Mishra,4811,,Taiwan,Taipei,"Delegation to Taipei organised by Labour Friends of Taiwan to meet with the President, Foreign Minister, Speaker of the Taiwanese Parliament and other officials.",29/03/2024,05/04/2024,,,Taiwanese Ministry of Foreign Affairs,False,"2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100202, Taiwan",In kind,"Flights (£5,420), hotel (£1040) local transportation (£32) and food (£340)",6832.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5183
4477,,International visit to Azerbaijan between 07 March 2024 and 12 March 2024,2024-03-19,2024-04-09,2024-03-27,Visits outside the UK,Afzal Khan,4671,,Azerbaijan,,To attend and speak on a panel event at the International Conference on Islamophobia 2024 in Baku.,07/03/2024,12/03/2024,,,Baku International Multiculturalism Centre,False,"9R6M+2MW, Funicular, Shovkat Alakbarova, Baku, Azerbaijan",In kind,"Accommodation (£484), international flights (£560) and subsistence and internal travel (£350)",1394.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4477
5090,,International visit to United States between 15 March 2024 and 18 March 2024,2024-04-04,2024-04-09,,Visits outside the UK,Paul Maskey,4245,,United States,New York City,To lead a west Belfast tourism delegation to carry out and participate in a series of engagements with key stakeholders and supporters of west Belfast tourism in New York City. Included the delivery of TWU hosted events notably the Quill-Connolly lecture and the James Connolly Irish American Labor Coalition Luncheon.,15/03/2024,18/03/2024,,,Féile an Phobail,False,"St Comgalls, Divis Street BT12 4AQ",In kind,Flights,1100.00,True,,,,,Transport Workers Union USA,False,"Transport Workers Union, 1220 19th St NW 6th Floor, Washington, DC 20036, USA",In kind,"Travel to and from airport, hotel and meetings, accommodation and meals",1500.00,True,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5090
5140,,International visit to Switzerland on 27 March 2024,2024-04-08,2024-04-08,,Visits outside the UK,Sir Stephen Timms,163,,Switzerland,Geneva,Discussions about Sri Lanka with country delegations to the UN Human Rights Council.,27/03/2024,27/03/2024,,,British Tamils Forum,False,"Unit 1, Tamil House, Fountayne Business Centre, Broad Lane, London N15 4AG",In kind,"Flight to Geneva (£268.39), hotel accommodation at Heathrow the night before (£85.86) and meals during the day (£30 approx.)",375.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5140
4785,,International visit to United States between 09 March 2024 and 12 March 2024,2024-03-25,2024-03-29,,Visits outside the UK,Mrs Sharon Hodgson,1521,,United States,Washington DC,"Delegation to Washington DC. Meetings with US politicians, activists and civil servants. Attending AIPAC International Policy Conference 2024.",09/03/2024,12/03/2024,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2050.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4785
5037,,International visit to United States between 09 March 2024 and 12 March 2024,2024-03-25,2024-03-28,,Visits outside the UK,Christian Wakeford,4871,,United States,Washington DC,"Delegation to Washington DC. Meetings with US politicians, activists and civil servants. Attending AIPAC International Policy Conference 2024.",09/03/2024,12/03/2024,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",1650.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/5037
4543,,International visit to Germany between 01 March 2024 and 05 March 2024,2024-03-21,2024-03-22,,Visits outside the UK,Clive Lewis,4500,,Germany,,Attending a parliamentarians forum.,01/03/2024,05/03/2024,,,Friedrich-Ebert-Stiftung,False,"Hiroshimastraße 17, 10785 Berlin, Germany",In kind,"Flights, accommodation, transport, and meals (value is estimated)",780.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4543
4553,,International visit to France between 11 March 2024 and 12 March 2024,2024-03-21,2024-03-22,,Visits outside the UK,Stephen Kinnock,4359,,France,,"To attend an ""In conversation with Stephen Kinnock"" dinner as part of the MIPIM (Le Marche International des Professionnels de l'immobilier) conference.",11/03/2024,12/03/2024,,,Deloitte LLP,False,"1 New Street Square, London EC4A 3HQ",In kind,"Flights (£375.99), Airport Transfers (£145.43), Hotel Accommodation (£187.56), and Food (£106.74)",815.72,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4553
4665,,International visit to Austria between 10 February 2024 and 24 February 2024,2024-03-05,2024-03-18,,Visits outside the UK,David Davis,373,,Austria,Lech,Skiing trip.,10/02/2024,24/02/2024,,,Ian Hannam,True,,In kind,"Accommodation (£9,202.45); ski pass and instructor (£2,006.82); flights and taxis (£1,966.99)",13176.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4665
4745,,International visit to Tanzania between 10 February 2024 and 17 February 2024,2024-03-11,2024-03-18,,Visits outside the UK,Kim Johnson,4824,,Tanzania,Zanzibar,Study tour on Sexual and Reproductive Health and Rights and International Development.,10/02/2024,17/02/2024,"APPG on Population, Development and Reproductive Health (PDRH)",,"APPG on Population, Development and Reproductive Health (PDRH) (sponsored by the European Parliamentary Forum on Reproductive Rights)",False,"House of Commons, Westminster, London SW1A 0AA",In kind,"Flights and visa (£1,114.30); accommodation (£486.04); other travel (£320.01); per diem, food and drinks (£287.70); and misc costs (£23.25)",2231.30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4745
4666,,International visit to Cyprus between 13 February 2024 and 16 February 2024,2024-03-05,2024-03-18,,Visits outside the UK,Sir Roger Gale,87,,Cyprus,Nicosia,APPG for Cyprus visit to meet with the President of the House of Representatives (Speaker) and the President of the Republic.,13/02/2024,16/02/2024,APPG for Cyprus,,"House of Representatives, Republic of Cyprus",False,"1102 Nicosia, Cyprus",In kind,"Travel, accommodation and meals",753.63,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4666
4751,,International visit to India between 18 February 2024 and 25 February 2024,2024-03-14,2024-03-18,,Visits outside the UK,Angela Rayner,4356,,India,,"A Labour delegation to several cities in the Republic of India to meet business, political and faith groups.",18/02/2024,25/02/2024,,,Federation of Indian Chambers and Commerce and Industry,False,"FICCI Federation House, Tansen Marg, New Delhi, 110001, India",In kind,"Travel, accommodation and food",12332.18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4751
4103,,International visit to India between 04 February 2024 and 08 February 2024,2024-02-20,2024-03-18,,Visits outside the UK,Jonathan Reynolds,4119,,India,Delhi and Mumbai,Bilateral meetings with Indian government ministers and business leaders.,04/02/2024,08/02/2024,,,Federation of Indian Chambers of Commerce and Industry,False,"FICCI, Federation House, Tansen Marg, New Delhi 110001",In kind,Local transport in Delhi and Mumbai,324.20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4103
4667,,International visit to United States between 15 February 2024 and 17 February 2024,2024-03-14,2024-03-18,,Visits outside the UK,Barry Gardiner,146,,United States,Washington DC,Speaking at the USDA Forward Outlook Conference Washington DC.,15/02/2024,17/02/2024,,,United States Embassy,False,"33 Nine Elms Road, Nine Elms, London SW11 7US",In kind,Flights and accommodation,1807.04,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4667
