ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,Link,Updated_2
8505,Shares in Blue Bird Holdings Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Blue Bird Holdings Ltd,Ethiopian investment holding company,,,https://interests-api.parliament.uk/api/v1/Interests/8505,
8605,Shares in Saibick Limited,,2024-07-31,2024-07-31,,Shareholdings,5241,Aphra Brandreth,(i) Shareholdings: over 15% of issued share capital,,,Saibick Limited,Commercial property letting company,Husband is also a shareholder of the company,,https://interests-api.parliament.uk/api/v1/Interests/8605,
8473,Shares in J Brand Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,J Brand Ltd,Data contractor specialising in retail sector,,,https://interests-api.parliament.uk/api/v1/Interests/8473,
8513,Shares in Black Cat Syndicate Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Black Cat Syndicate Ltd,ASX listed gold mining business in Western Australia,,,https://interests-api.parliament.uk/api/v1/Interests/8513,
8420,Shares in Cassia Holdings Ltd,,2024-07-31,2024-07-31,,Shareholdings,5286,Anna Sabine,(i) Shareholdings: over 15% of issued share capital,,,Cassia Holdings Ltd,Holding company,,,https://interests-api.parliament.uk/api/v1/Interests/8420,
8244,Shares in Bank View Solicitors Limited,,2024-07-30,2024-07-30,,Shareholdings,5231,Mr Adnan Hussain,(i) Shareholdings: over 15% of issued share capital,,,Bank View Solicitors Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/8244,
8338,Shares in Adnaan Iqbal Mohamed Consulting Ltd.,,2024-07-30,2024-07-30,,Shareholdings,5268,Iqbal Mohamed,(i) Shareholdings: over 15% of issued share capital,,,Adnaan Iqbal Mohamed Consulting Ltd.,,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8338,
8063,Shares in Grow Movement Ltd,,2024-07-30,2024-07-30,2025-02-07,Shareholdings,5198,Chris Coghlan,(i) Shareholdings: over 15% of issued share capital,,2025-02-03,Grow Movement Ltd,Remote coaching services for social entrepreneurs.,,,https://interests-api.parliament.uk/api/v1/Interests/8063,
7858,Shares in Eyespealed Services Ltd,,2024-07-29,2024-07-29,,Shareholdings,5336,Helen Maguire,(i) Shareholdings: over 15% of issued share capital,,,Eyespealed Services Ltd,Management consultancy other than financial management,Jointly with husband,,https://interests-api.parliament.uk/api/v1/Interests/7858,
7854,Shares in Big Bright Futures Ltd,,2024-07-29,2024-07-29,,Shareholdings,5336,Helen Maguire,(i) Shareholdings: over 15% of issued share capital,,,Big Bright Futures Ltd,Property management company,Jointly with my husband,,https://interests-api.parliament.uk/api/v1/Interests/7854,
7611,Shares in Monki Dog Care,,2024-07-26,2024-07-26,,Shareholdings,5266,Mike Tapp,(i) Shareholdings: over 15% of issued share capital,,,Monki Dog Care,Dog Day Care service,Wife,,https://interests-api.parliament.uk/api/v1/Interests/7611,
7372,Shares in Hargreaves Brash Property Ltd,,2024-07-25,2024-07-25,,Shareholdings,5045,Mr Jonathan Brash,(i) Shareholdings: over 15% of issued share capital,,,Hargreaves Brash Property Ltd,,Jointly with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7372,
7326,Shares in Rachel Taylor Consultancy Limited,,2024-07-25,2024-07-25,,Shareholdings,5065,Rachel Taylor,(i) Shareholdings: over 15% of issued share capital,,,Rachel Taylor Consultancy Limited,provision of legal services,,,https://interests-api.parliament.uk/api/v1/Interests/7326,
7374,Shares in W B Tees Valley & North York Moors Ltd,,2024-07-25,2024-07-25,2025-06-17,Shareholdings,5045,Mr Jonathan Brash,(i) Shareholdings: over 15% of issued share capital,,2025-05-30,W B Tees Valley & North York Moors Ltd,A baby swimming company,Now owned solely by my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7374,
6235,Shares in Hampden and Co,,2024-07-24,2024-07-24,,Shareholdings,5362,Mr Angus MacDonald,"(ii) Other shareholdings, valued at more than £70,000",,,Hampden and Co,Bank,,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/6235,
6236,Shares in Renewable Parts Ltd,,2024-07-24,2024-07-24,,Shareholdings,5362,Mr Angus MacDonald,(i) Shareholdings: over 15% of issued share capital,,,Renewable Parts Ltd,Supply of parts for wind turbines,,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/6236,
7066,Shares in PFPM (Preston) Ltd,,2024-07-24,2024-07-24,,Shareholdings,5074,Mr Paul Foster,(i) Shareholdings: over 15% of issued share capital,,,PFPM (Preston) Ltd,Project & Development Management Consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/7066,
7204,Shares in DeCantelo Ltd,,2024-07-24,2024-07-24,,Shareholdings,5209,Peter Fortune,(i) Shareholdings: over 15% of issued share capital,,,DeCantelo Ltd,Management Consultancy,Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/7204,
7010,Shares in Labox Ltd,,2024-07-23,2024-07-23,,Shareholdings,5239,Sarah Gibson,(i) Shareholdings: over 15% of issued share capital,,,Labox Ltd,Architectural practice,,,https://interests-api.parliament.uk/api/v1/Interests/7010,
7070,Shares in NWSD Professional Services Ltd,,2024-07-23,2024-07-23,,Shareholdings,5074,Mr Paul Foster,(i) Shareholdings: over 15% of issued share capital,,,NWSD Professional Services Ltd,Social housing/student accommodation development consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/7070,
6969,Shares in Pull Together Ltd,,2024-07-23,2024-07-23,,Shareholdings,4637,Mr James Frith,(i) Shareholdings: over 15% of issued share capital,,,Pull Together Ltd,Education services company trading as All Together,,,https://interests-api.parliament.uk/api/v1/Interests/6969,
6222,Shares in Clayduck Ltd,,2024-07-23,2024-07-23,,Shareholdings,4595,Gareth Snell,(i) Shareholdings: over 15% of issued share capital,,,Clayduck Ltd,,Jointly with my partner,,https://interests-api.parliament.uk/api/v1/Interests/6222,
7068,Shares in Project Furnishings Management Ltd (Dormant),,2024-07-23,2024-07-23,,Shareholdings,5074,Mr Paul Foster,(i) Shareholdings: over 15% of issued share capital,,,Project Furnishings Management Ltd (Dormant),Supplies furniture,,,https://interests-api.parliament.uk/api/v1/Interests/7068,
6971,Shares in Lemonade Partners,,2024-07-23,2024-07-23,,Shareholdings,4637,Mr James Frith,(i) Shareholdings: over 15% of issued share capital,,,Lemonade Partners,Management consultancy activities other than financial management,Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/6971,
6807,Shares in Community Conversations Ltd.,,2024-07-22,2024-07-22,2025-07-22,Shareholdings,5184,Daniel Francis,(i) Shareholdings: over 15% of issued share capital,,2025-07-22,Community Conversations Ltd.,"Public Consultation Company assisting developers and charitable organisations within the planning sector.

Company was dissolved on 22nd July 2025.",Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/6807,
6795,Shares in Labour to Win Ltd,,2024-07-22,2024-07-22,,Shareholdings,5112,Luke Akehurst,(i) Shareholdings: over 15% of issued share capital,,,Labour to Win Ltd,Political organisation within the Labour Party,,,https://interests-api.parliament.uk/api/v1/Interests/6795,
6895,Shares in GB & CA DAVIES,,2024-07-22,2024-07-22,,Shareholdings,5177,Ann Davies,(i) Shareholdings: over 15% of issued share capital,,,GB & CA DAVIES,farm business,jointly owned with my husband and another family member,,https://interests-api.parliament.uk/api/v1/Interests/6895,
6794,Shares in Labour First Ltd,,2024-07-22,2024-07-22,,Shareholdings,5112,Luke Akehurst,(i) Shareholdings: over 15% of issued share capital,,,Labour First Ltd,Political organisation within the Labour Party,,,https://interests-api.parliament.uk/api/v1/Interests/6794,
6891,Shares in In And About Thetford Ltd,,2024-07-22,2024-07-22,,Shareholdings,5338,Terry Jermy,(i) Shareholdings: over 15% of issued share capital,,,In And About Thetford Ltd,A company that publishes the About Thetford magazine,,,https://interests-api.parliament.uk/api/v1/Interests/6891,
6892,Shares in Alec James Ltd,,2024-07-22,2024-07-22,,Shareholdings,5338,Terry Jermy,(i) Shareholdings: over 15% of issued share capital,,,Alec James Ltd,Alec James Ltd was set up to own a residential property,Company is owned jointly with partner,,https://interests-api.parliament.uk/api/v1/Interests/6892,
6894,Shares in Meithrinfa Cwtsh Y Clos,,2024-07-22,2024-07-22,,Shareholdings,5177,Ann Davies,(i) Shareholdings: over 15% of issued share capital,,,Meithrinfa Cwtsh Y Clos,Children's Nursery,co-owned by a family member,,https://interests-api.parliament.uk/api/v1/Interests/6894,
6580,Shares in Threshed Thought Ltd,,2024-07-18,2024-07-19,2025-02-27,Shareholdings,5219,Mike Martin,(i) Shareholdings: over 15% of issued share capital,,2025-02-27,Threshed Thought Ltd,Conflict and defence,,,https://interests-api.parliament.uk/api/v1/Interests/6580,
6747,Shares in Ashley Fox Consulting Ltd,,2024-07-19,2024-07-19,,Shareholdings,5101,Sir Ashley Fox,(i) Shareholdings: over 15% of issued share capital,,,Ashley Fox Consulting Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/6747,
6561,Shares in Bee Herd Media Ltd,,2024-07-17,2024-07-19,,Shareholdings,5155,Chris Kane,(i) Shareholdings: over 15% of issued share capital,,,Bee Herd Media Ltd,marketing consultancy and digital content creation,jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/6561,
6739,Shares in AutoSwot Ltd,,2024-07-19,2024-07-19,,Shareholdings,5208,Perran Moon,(i) Shareholdings: over 15% of issued share capital,,,AutoSwot Ltd,An online training company,,,https://interests-api.parliament.uk/api/v1/Interests/6739,
6672,Shares in Tisun Investments Ltd,,2024-07-19,2024-07-19,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,2024-07-18,,Tisun Investments Ltd,Property Investment and consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/6672,
6688,Shares in Venture Xtreme Consultancy Limited,,2024-07-19,2024-07-19,,Shareholdings,5134,Andy MacNae,(i) Shareholdings: over 15% of issued share capital,,,Venture Xtreme Consultancy Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/6688,
6593,Shares in Quidnet REIT Ltd,,2024-07-18,2024-07-18,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,,,Quidnet REIT Ltd,Property Company,,,https://interests-api.parliament.uk/api/v1/Interests/6593,
6652,Shares in Chrysalis Investments Limited,,2024-07-18,2024-07-18,,Shareholdings,5340,Jack Rankin,"(ii) Other shareholdings, valued at more than £70,000",,,Chrysalis Investments Limited,"Closed-ended investment company with objective of long-term capital growth, primarily in unquoted equity in portfolio companies.",,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/6652,
6540,Shares in Moexco Ltd,,2024-07-17,2024-07-18,,Shareholdings,5111,Martin Wrigley,(i) Shareholdings: over 15% of issued share capital,,,Moexco Ltd,Management consultancy - soon to become dormant,,,https://interests-api.parliament.uk/api/v1/Interests/6540,
6320,Shares in Pure,,2024-07-15,2024-07-18,,Shareholdings,5049,Michelle Scrogham,(i) Shareholdings: over 15% of issued share capital,,,Pure,Retail fashion business,,,https://interests-api.parliament.uk/api/v1/Interests/6320,
6520,Shares in Labour Together Limited,,2024-07-17,2024-07-17,2025-10-17,Shareholdings,5060,Josh Simons,(i) Shareholdings: over 15% of issued share capital,,2024-12-11,Labour Together Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/6520,
6196,Shares in MGillett Consulting Ltd (DORMANT),,2024-07-12,2024-07-12,2024-11-09,Shareholdings,5299,Monica Harding,(i) Shareholdings: over 15% of issued share capital,,,MGillett Consulting Ltd (DORMANT),Consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/6196,
6176,Shares in Lloyds bank plc,,2024-07-11,2024-07-11,,Shareholdings,5207,Clive Jones,"(ii) Other shareholdings, valued at more than £70,000",,,Lloyds bank plc,,,,https://interests-api.parliament.uk/api/v1/Interests/6176,
6150,Shares in IPGL,,2024-07-11,2024-07-11,,Shareholdings,5303,Patrick Spencer,"(ii) Other shareholdings, valued at more than £70,000",,,IPGL,Investment holdings company,,Trust,https://interests-api.parliament.uk/api/v1/Interests/6150,
6126,Shares in DBS Rainbow Consultancy Ltd,,2024-07-11,2024-07-11,,Shareholdings,5106,David Burton-Sampson,(i) Shareholdings: over 15% of issued share capital,,,DBS Rainbow Consultancy Ltd,Dormant consultancy company,With Civil Partner,,https://interests-api.parliament.uk/api/v1/Interests/6126,
6158,Shares in Suffolk Ventures Limited,,2024-07-11,2024-07-11,,Shareholdings,5303,Patrick Spencer,(i) Shareholdings: over 15% of issued share capital,,,Suffolk Ventures Limited,The company was set up to manage the marketing and rental income associated with property in Suffolk.,,,https://interests-api.parliament.uk/api/v1/Interests/6158,
6123,Shares in DBS Financial Solutions Ltd,,2024-07-11,2024-07-11,,Shareholdings,5106,David Burton-Sampson,(i) Shareholdings: over 15% of issued share capital,,,DBS Financial Solutions Ltd,,With my Civil Partner,,https://interests-api.parliament.uk/api/v1/Interests/6123,
6058,Shares in Chambers of Ayoub Khan Limited,,2024-07-10,2024-07-10,,Shareholdings,5357,Ayoub Khan,(i) Shareholdings: over 15% of issued share capital,,,Chambers of Ayoub Khan Limited,Barrister,,,https://interests-api.parliament.uk/api/v1/Interests/6058,
2561,Shares in Kemyel Ltd,,2021-10-04,2023-12-28,2023-05-11,Shareholdings,4074,Mark Garnier,(i) Shareholdings: over 15% of issued share capital,2021-09-22,,Kemyel Ltd,A company set up to manage my financial interests.,,,https://interests-api.parliament.uk/api/v1/Interests/2561,
2569,Shares in Llais Ltd (inactive),,2017-07-06,2023-12-28,,Shareholdings,4632,Anna McMorrin,(i) Shareholdings: over 15% of issued share capital,,,Llais Ltd (inactive),Policy communications,,,https://interests-api.parliament.uk/api/v1/Interests/2569,
2573,Shares in Oh! Television (not trading),,2016-01-11,2023-12-28,,Shareholdings,4371,Brendan O'Hara,(i) Shareholdings: over 15% of issued share capital,,,Oh! Television (not trading),Television production company,,,https://interests-api.parliament.uk/api/v1/Interests/2573,
2572,Shares in 100MPH Events Limited (dormant),,,2023-12-28,2023-07-31,Shareholdings,3966,Ian Murray,(i) Shareholdings: over 15% of issued share capital,,,100MPH Events Limited (dormant),Event management,,,https://interests-api.parliament.uk/api/v1/Interests/2572,
2457,Shares in Gresham Hall Glamping Ltd,,2023-01-09,2023-12-24,,Shareholdings,249,Sir Geoffrey Clifton-Brown,(i) Shareholdings: over 15% of issued share capital,2021-05-26,,Gresham Hall Glamping Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2457,
2459,Shares in Thomas More Property Holdings Ltd,,2015-06-05,2023-12-24,,Shareholdings,1508,Sir Geoffrey Cox,(i) Shareholdings: over 15% of issued share capital,,,Thomas More Property Holdings Ltd,Property holding company,,,https://interests-api.parliament.uk/api/v1/Interests/2459,
2488,Shares in Habitats Online Ltd,,2022-01-10,2023-12-24,,Shareholdings,4474,Kevin Hollinrake,(i) Shareholdings: over 15% of issued share capital,2021-12-22,,Habitats Online Ltd,Lettings and estate agency services,,,https://interests-api.parliament.uk/api/v1/Interests/2488,
2500,Shares in Progression Ltd,,2015-06-08,2023-12-24,,Shareholdings,4505,Peter Kyle,(i) Shareholdings: over 15% of issued share capital,,,Progression Ltd,Sporting Video Company,,,https://interests-api.parliament.uk/api/v1/Interests/2500,
2502,Shares in CMAL Limited,,2015-05-26,2023-12-24,,Shareholdings,4403,Chris Law,(i) Shareholdings: over 15% of issued share capital,,,CMAL Limited,Financial services company,,,https://interests-api.parliament.uk/api/v1/Interests/2502,
2528,Shares in MAP Advisory Ltd,,2013-09-07,2023-12-24,2022-04-25,Shareholdings,1576,Mark Pritchard,(i) Shareholdings: over 15% of issued share capital,,,MAP Advisory Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2528,
2553,Shares in Pettitts Ltd,,2015-06-04,2023-12-24,,Shareholdings,4382,Daniel Zeichner,(i) Shareholdings: over 15% of issued share capital,,,Pettitts Ltd,Management for the shared freehold flats of which I am a resident.,,,https://interests-api.parliament.uk/api/v1/Interests/2553,
2503,Shares in Toussaint Ventures Ltd,,2022-08-08,2023-12-24,2024-02-14,Shareholdings,4500,Clive Lewis,(i) Shareholdings: over 15% of issued share capital,2022-07-15,,Toussaint Ventures Ltd,Provides support for my political campaigning and activities.,,,https://interests-api.parliament.uk/api/v1/Interests/2503,
2454,Shares in Coillabus Farms,,2021-11-16,2023-12-24,,Shareholdings,1442,Mr Alistair Carmichael,(i) Shareholdings: over 15% of issued share capital,2021-10-24,,Coillabus Farms,A firm which manages two farms and the letting of self-catering holiday accommodation on Islay.,,,https://interests-api.parliament.uk/api/v1/Interests/2454,
2525,Shares in Pluto Monza Co Invest LLP,,2015-06-05,2023-12-24,2025-01-30,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,2023-03-28,Pluto Monza Co Invest LLP,Property finance and investment,,,https://interests-api.parliament.uk/api/v1/Interests/2525,
2444,Shares in West Central Ltd,,2020-01-10,2023-12-24,2025-06-24,Shareholdings,4818,Saqib Bhatti,(i) Shareholdings: over 15% of issued share capital,,2025-06-17,West Central Ltd,Consultancy and e-commerce,,,https://interests-api.parliament.uk/api/v1/Interests/2444,
2442,Shares in Apsana Begum Ltd,,2023-02-27,2023-12-24,,Shareholdings,4790,Apsana Begum,(i) Shareholdings: over 15% of issued share capital,2023-01-10,,Apsana Begum Ltd,A company created to deliver campaigns and support my work as an MP.,,,https://interests-api.parliament.uk/api/v1/Interests/2442,
2522,Shares in Millgap Ltd,,2015-06-05,2023-12-24,,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,,Millgap Ltd,"Consulting, advisory and investment",,,https://interests-api.parliament.uk/api/v1/Interests/2522,
2543,Shares in Venture Marketing Group Ltd,,,2023-12-24,,Shareholdings,3935,Sir Mel Stride,(i) Shareholdings: over 15% of issued share capital,,,Venture Marketing Group Ltd,"Publisher, organiser of exhibitions and conferences",,,https://interests-api.parliament.uk/api/v1/Interests/2543,
2545,Shares in Zarah Sultana Campaigns Ltd,,2023-03-27,2023-12-24,,Shareholdings,4786,Zarah Sultana,(i) Shareholdings: over 15% of issued share capital,2021-11-12,,Zarah Sultana Campaigns Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2545,
2523,Shares in Pluto Partners LLP,,2015-06-05,2023-12-24,,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,,Pluto Partners LLP,Property finance and investment,,,https://interests-api.parliament.uk/api/v1/Interests/2523,
2456,Shares in Carclew Limited,,,2023-12-24,2017-06-20,Shareholdings,242,Sir Christopher Chope,(i) Shareholdings: over 15% of issued share capital,,,Carclew Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/2456,
2509,Shares in County Finance Group Ltd,,2015-06-02,2023-12-24,,Shareholdings,4495,Kit Malthouse,(i) Shareholdings: over 15% of issued share capital,,,County Finance Group Ltd,Provision of equipment finance,,,https://interests-api.parliament.uk/api/v1/Interests/2509,
2443,Shares in Younis Bhatti & Co. Ltd,,2020-01-10,2023-12-24,,Shareholdings,4818,Saqib Bhatti,(i) Shareholdings: over 15% of issued share capital,,,Younis Bhatti & Co. Ltd,Chartered accountants,,,https://interests-api.parliament.uk/api/v1/Interests/2443,
2472,Shares in Finucane Toner Ltd,,2020-01-07,2023-12-24,,Shareholdings,4823,John Finucane,(i) Shareholdings: over 15% of issued share capital,,,Finucane Toner Ltd,Solicitors,,,https://interests-api.parliament.uk/api/v1/Interests/2472,
2489,Shares in Mare Pond Properties Ltd,,2018-03-07,2023-12-24,,Shareholdings,1572,Sir Jeremy Hunt,(i) Shareholdings: over 15% of issued share capital,2017-09-19,,Mare Pond Properties Ltd,A property holding company,Owned jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/2489,
2552,Shares in Gratton Lansdowne,,2021-11-19,2023-12-24,,Shareholdings,4108,Sir Gavin Williamson,(i) Shareholdings: over 15% of issued share capital,2021-10-25,,Gratton Lansdowne,A company set up to manage my financial affairs and investments.,,,https://interests-api.parliament.uk/api/v1/Interests/2552,
2521,Shares in Pluto Capital Management LLP,,2015-06-05,2023-12-24,,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,,Pluto Capital Management LLP,Property finance and investment,,,https://interests-api.parliament.uk/api/v1/Interests/2521,
2514,Shares in Blue Collar Productions,,2020-10-29,2023-12-24,,Shareholdings,4084,Esther McVey,(i) Shareholdings: over 15% of issued share capital,2020-10-01,,Blue Collar Productions,A television production company,,,https://interests-api.parliament.uk/api/v1/Interests/2514,
2527,Shares in New Road Management,,2012-12-13,2023-12-24,2015-06-02,Shareholdings,4263,Lucy Powell,(i) Shareholdings: over 15% of issued share capital,,,New Road Management,A property management company,,,https://interests-api.parliament.uk/api/v1/Interests/2527,2021-05-13
2452,Shares in Richard Burgon Campaigns Ltd,,2023-03-28,2023-12-24,,Shareholdings,4493,Richard Burgon,(i) Shareholdings: over 15% of issued share capital,2022-01-17,,Richard Burgon Campaigns Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2452,
2512,Shares in Thorpe and Felthorpe Trust,,2020-01-07,2023-12-24,,Shareholdings,4739,Jerome Mayhew,(i) Shareholdings: over 15% of issued share capital,,,Thorpe and Felthorpe Trust,Land and property management and development,,,https://interests-api.parliament.uk/api/v1/Interests/2512,
2542,Shares in Highland Fine Houses Ltd,,2017-07-07,2023-12-24,,Shareholdings,4612,Jamie Stone,(i) Shareholdings: over 15% of issued share capital,,,Highland Fine Houses Ltd,Property company,,,https://interests-api.parliament.uk/api/v1/Interests/2542,
2517,Shares in DM Electronics Ltd,,2015-06-02,2023-12-24,2018-05-03,Shareholdings,4358,Wendy Morton,(i) Shareholdings: over 15% of issued share capital,,,DM Electronics Ltd,An electronics design and manufacturing company,,,https://interests-api.parliament.uk/api/v1/Interests/2517,
2520,Shares in Afrika Connekt Ltd,,2020-01-07,2023-12-24,,Shareholdings,4779,Taiwo Owatemi,(i) Shareholdings: over 15% of issued share capital,,,Afrika Connekt Ltd,A clothing company,,,https://interests-api.parliament.uk/api/v1/Interests/2520,
2458,Shares in Thomas More International Ltd,,2015-06-05,2023-12-24,,Shareholdings,1508,Sir Geoffrey Cox,(i) Shareholdings: over 15% of issued share capital,,,Thomas More International Ltd,International law firm,,,https://interests-api.parliament.uk/api/v1/Interests/2458,
2501,Shares in The Argument Ltd,,2015-12-15,2023-12-24,,Shareholdings,4505,Peter Kyle,(i) Shareholdings: over 15% of issued share capital,2015-11-03,,The Argument Ltd,A journal,,,https://interests-api.parliament.uk/api/v1/Interests/2501,
2519,Shares in Kate Osborne Campaigns Ltd,,2022-10-14,2023-12-24,,Shareholdings,4783,Kate Osborne,(i) Shareholdings: over 15% of issued share capital,2022-10-06,,Kate Osborne Campaigns Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2519,
2536,Shares in Bosworth Ltd,,2022-06-14,2023-12-24,,Shareholdings,4021,Chris Skidmore,(i) Shareholdings: over 15% of issued share capital,2022-05-30,,Bosworth Ltd,A company through which I provide research and advisory services.,,,https://interests-api.parliament.uk/api/v1/Interests/2536,
2524,Shares in Pluto Silverstone Co Invest LLP,,2015-06-05,2023-12-24,2025-01-30,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,2023-03-28,Pluto Silverstone Co Invest LLP,Property finance and investment,,,https://interests-api.parliament.uk/api/v1/Interests/2524,
2487,Shares in Compotex GmbH,,2017-07-05,2023-12-24,,Shareholdings,4602,Wera Hobhouse,(i) Shareholdings: over 15% of issued share capital,,,Compotex GmbH,Technical textile finishing,,,https://interests-api.parliament.uk/api/v1/Interests/2487,
2526,Shares in Pluto Development Partners LLP,,2015-06-05,2023-12-24,,Shareholdings,4503,Chris Philp,(i) Shareholdings: over 15% of issued share capital,,,Pluto Development Partners LLP,Property finance and investment,,,https://interests-api.parliament.uk/api/v1/Interests/2526,
2464,Shares in Vintage Ghetto,,2023-08-10,2023-12-24,,Shareholdings,4995,Sarah Dyke,(i) Shareholdings: over 15% of issued share capital,,,Vintage Ghetto,A retail company,,,https://interests-api.parliament.uk/api/v1/Interests/2464,
2469,Shares in Bill Esterson Campaigns Ltd,,2016-10-14,2023-12-24,,Shareholdings,4061,Bill Esterson,(i) Shareholdings: over 15% of issued share capital,2016-09-26,,Bill Esterson Campaigns Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2469,
2544,Shares in CSL Publishing Ltd,,,2023-12-24,2015-06-03,Shareholdings,1482,Graham Stuart,(i) Shareholdings: over 15% of issued share capital,,,CSL Publishing Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/2544,2015-11-02
1334,Shares in Property Franchise Group plc,,2021-04-26,2023-12-17,2021-04-27,Shareholdings,4474,Kevin Hollinrake,"(ii) Other shareholdings, valued at more than £70,000",2021-03-19,,Property Franchise Group plc,A multi-brand lettings and estate agency franchising group.,,,https://interests-api.parliament.uk/api/v1/Interests/1334,
1355,Shares in Alphabet Inc.,,2019-08-16,2023-12-17,2023-10-18,Shareholdings,4407,Nigel Huddleston,"(ii) Other shareholdings, valued at more than £70,000",2023-10-11,,Alphabet Inc.,,,,https://interests-api.parliament.uk/api/v1/Interests/1355,
1353,Shares in Walsingham Estate Co Ltd (beneficial interest),,2020-01-07,2023-12-17,2020-07-06,Shareholdings,4739,Jerome Mayhew,"(ii) Other shareholdings, valued at more than £70,000",,,Walsingham Estate Co Ltd (beneficial interest),"Farming, land and property management, retail and finance",,,https://interests-api.parliament.uk/api/v1/Interests/1353,
1330,Shares in Endava Ltd,,2015-05-19,2023-12-17,,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2015-05-08,,Endava Ltd,IT services and consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/1330,
1331,Shares in Softiron,,2020-01-10,2023-12-17,,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2019-11-25,,Softiron,Design and development of application software for data storage.,,,https://interests-api.parliament.uk/api/v1/Interests/1331,
1332,Shares in Blue Gold Ltd (BGL),,2021-04-12,2023-12-17,2025-07-08,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2021-04-05,,Blue Gold Ltd (BGL),Natural resources business operating in Sub Saharan Africa. Listed on NASDAQ on 26 June 2025.,,,https://interests-api.parliament.uk/api/v1/Interests/1332,
1337,Shares in Apple,,2017-07-05,2023-12-17,,Shareholdings,4617,Matt Western,"(ii) Other shareholdings, valued at more than £70,000",,,Apple,Technology company,,,https://interests-api.parliament.uk/api/v1/Interests/1337,
1345,Shares in Genie International Toys,,,2023-12-17,2022-01-31,Shareholdings,3991,Jesse Norman,"(ii) Other shareholdings, valued at more than £70,000",,,Genie International Toys,Toy design and manufacture,,,https://interests-api.parliament.uk/api/v1/Interests/1345,
1342,Shares in Equinox International Holdings Limited,,2022-11-14,2023-12-17,,Shareholdings,1211,Sir Andrew Mitchell,"(ii) Other shareholdings, valued at more than £70,000",2021-08-20,,Equinox International Holdings Limited,Life sciences,,,https://interests-api.parliament.uk/api/v1/Interests/1342,
